"Category","Code","CodeDescription","Notes"
"Basement","3","Mostly finished basement (> 50%)",""
"Basement","4","Partially finished basement (<= 50%)",""
"Basement","5","Basement of unknown finish percent",""
"Basement","6","No basement",""
"BIFloodVuln","0","Unknown",""
"BIFloodVuln","1","No Susceptibility",""
"BIFloodVuln","2","Very Low",""
"BIFloodVuln","3","Low",""
"BIFloodVuln","4","Moderate",""
"BIFloodVuln","5","High",""
"BIFloodVuln","6","Very High",""
"BIFloodVuln","7","Total Susceptibility",""
"BIPreparedness","0","Unknown",""
"BIPreparedness","1","Vulnerable",""
"BIPreparedness","2","Average",""
"BIPreparedness","3","Resilient",""
"BIRedundancy","0","Unknown",""
"BIRedundancy","1","Vulnerable",""
"BIRedundancy","2","Average",""
"BIRedundancy","3","Resilient",""
"BrickVeneer","0","Unknown / default (50-90%)",""
"BrickVeneer","1","More than 90%",""
"BrickVeneer","2","25-50%",""
"BrickVeneer","3","0-25%",""
"BuildingCondition","0","Unknown / default",""
"BuildingCondition","1","Average",""
"BuildingCondition","2","Good",""
"BuildingCondition","3","Poor",""
"BuildingExteriorOpening","0","Unknown / default",""
"BuildingExteriorOpening","1","Less than 50% of wall open",""
"BuildingExteriorOpening","2","More than 50% of wall open",""
"BuildingFloodVuln","0","Unknown","Level of vulnerability is unknown"
"BuildingFloodVuln","1","No Susceptibility","All of the building is water-resistant or protected"
"BuildingFloodVuln","2","Very Low","Most of the building is water-resistant or protected"
"BuildingFloodVuln","3","Low","An unusually large percentage of the building is water-resistant or protected"
"BuildingFloodVuln","4","Moderate","A typical percentage of the building is water-resistance or protected"
"BuildingFloodVuln","5","High","A low percentage of the building is water-resistant or protected"
"BuildingFloodVuln","6","Very High","Almost none of the building is water-resistant or protected"
"BuildingFloodVuln","7","Total Susceptibility","None of the building is water-resistant or protected"
"BuildingShape","0","Unknown / default",""
"BuildingShape","1","Square",""
"BuildingShape","2","Rectangle",""
"BuildingShape","3","Circular",""
"BuildingShape","4","L-shaped",""
"BuildingShape","5","T-shaped",""
"BuildingShape","6","U-shaped",""
"BuildingShape","7","H-shaped",""
"BuildingShape","8","Complex",""
"BuildingShape","9","Triangular",""
"BuildingType","0","Unknown / default",""
"BuildingType","1","Manufactured",""
"BuildingType","2","Cottage",""
"BuildingType","3","Ranch",""
"BuildingType","4","Cape Cod Style",""
"BuildingType","5","Earth house",""
"BuildingType","6","Dome",""
"Chimney","0","Unknown / default",""
"Chimney","1","No",""
"Chimney","2","Yes, height <= 2 ft",""
"Chimney","3","Yes, 2ft <= height <= 5 ft",""
"Chimney","4","Yes, height > 5 ft",""
"Cladding","0","Unknown / default",""
"Cladding","1","Veneer brick / masonry",""
"Cladding","10","Stone Veneer",""
"Cladding","11","Steel",""
"Cladding","12","Light metal",""
"Cladding","13","Tile",""
"Cladding","14","Concrete",""
"Cladding","15","Fiber cement (Board)",""
"Cladding","16","Wood siding",""
"Cladding","17","Gypsum Board",""
"Cladding","2","Wood shingles / shakes",""
"Cladding","3","Clapboards",""
"Cladding","4","Aluminium / vinyl siding",""
"Cladding","5","Stone panels (real stone)",""
"Cladding","6","Exterior insulation finishing system (EIFS)",""
"Cladding","7","Stucco",""
"Cladding","8","Asbestos",""
"Cladding","9","Log",""
"CloudVendor","0","Unknown","Cloud Vendor (technographic data for cyber exposures)"
"CloudVendor","1","AWS","Cloud Vendor (technographic data for cyber exposures)"
"CloudVendor","2","MS Azure","Cloud Vendor (technographic data for cyber exposures)"
"CloudVendor","3","Google Cloud","Cloud Vendor (technographic data for cyber exposures)"
"CloudVendor","4","IBM Cloud","Cloud Vendor (technographic data for cyber exposures)"
"CloudVendor","5","Oracle Cloud","Cloud Vendor (technographic data for cyber exposures)"
"CloudVendor","6","Alibaba Cloud","Cloud Vendor (technographic data for cyber exposures)"
"CodeProvision","1","No code/non-engineered",""
"CodeProvision","2","Low Code",""
"CodeProvision","3","Moderate Code",""
"CodeProvision","4","High Code",""
"CommodityScheme","HS22","HS Nomenclature 2022 Edition","The Harmonized Commodity Description and Coding System generally referred to as ""Harmonized System"" or simply ""HS"" is a multipurpose international product nomenclature developed by the World Customs Organization (WCO)"
"CompanyIDScheme","LEI","Legal Entity Identifier scheme","The Legal Entity Identifier (LEI) is an alphanumeric code, consisting of 20 characters, based on the international standard ISO 17442"
"CompanyIDScheme","DUNS","Duns & Bradstreet scheme","The Dun & Bradstreet D‑U‑N‑S Number is a unique nine-digit identifier for businesses."
"CompanyIDScheme","BIN","Bank Identification Number scheme","The Bank Identification Number (BIN) system is a globally recognized standard for identifying banks and financial institutions in payment card transactions."
"ConstructionQuality","0","Unknown / default",""
"ConstructionQuality","1","Fortified Home (IBHS) Bronze Option 1",""
"ConstructionQuality","10","Low","No structural survey information available but visual inspection shows obvious signs of damage"
"ConstructionQuality","2","Fortified Home (IBHS) Bronze Option 2",""
"ConstructionQuality","3","Fortified Home (IBHS) Silver Option 1",""
"ConstructionQuality","4","Fortified Home (IBHS) Silver Option 2",""
"ConstructionQuality","5","Fortified Home (IBHS) Gold Option 1",""
"ConstructionQuality","6","Fortified Home (IBHS) Gold Option 2",""
"ConstructionQuality","7","Fortified for Safer Living (IBHS)",""
"ConstructionQuality","8","High","Code level design and best construction practice, structural survey information available indicating good condition without  signs of damage"
"ConstructionQuality","9","Medium","No structural survey information available but visual inspection shows no signs of damage"
"ContentsFloodVuln","0","Unknown","Level of vulnerability is unknown"
"ContentsFloodVuln","1","No Susceptibility","All of the contents are water-resistant or protected"
"ContentsFloodVuln","2","Very Low","Most of the contents are water-resistant or protected"
"ContentsFloodVuln","3","Low","An unusually large percentage of the contents is water-resistant or protected"
"ContentsFloodVuln","4","Moderate","A typical percentage of the contents is water-resistance or protected"
"ContentsFloodVuln","5","High","A low percentage of the contents is water-resistant or protected"
"ContentsFloodVuln","6","Very High","Almost none of the contents are water-resistant or protected"
"ContentsFloodVuln","7","Total Susceptibility","None of the contents are water-resistant or protected"
"ContentsQuakeVuln","0","Unknown / default","Level of vulnerability is unknown"
"ContentsQuakeVuln","1","Low","An unusually large percentage of the contents is quake-resistant or protected"
"ContentsQuakeVuln","2","Moderate","A typical percentage or the contents is quake-resistance or protected"
"ContentsQuakeVuln","3","High","A low percentage of the contents is quake-resistant or protected"
"ContentsQuakeVuln","4","Very High","Almost none of the contents are quake-resistant or protected"
"ContentsWindVuln","0","Unknown / default","Level of vulnerability is unknown"
"ContentsWindVuln","1","Low","An unusually large percentage of the contents is wind-resistant or protected"
"ContentsWindVuln","2","Moderate","A typical percentage or the contents is wind-resistance or protected"
"ContentsWindVuln","3","High","A low percentage of the contents is wind-resistant or protected"
"ContentsWindVuln","4","Very High","Almost none of the contents are wind-resistant or protected"
"CoverageTrigger","0","Claims Made (default)","The coverage trigger basis"
"CoverageTrigger","1","Losses Occurring","The coverage trigger basis"
"CoverageTrigger","2","Occurrence Reported","The coverage trigger basis"
"CrippleWall","0","Unknown / default",""
"CrippleWall","1","No",""
"CrippleWall","2","Yes",""
"CRMVendor","0","Unknown","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","1","Salesforce","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","2","Pipedrive","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","3","Bitrix24","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","4","Pipedrive","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","5","Ontraport","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","6","Nimble","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","7","Nutshell","Client Relationship Management Vendor (technographic data for cyber exposures)"
"CRMVendor","8","Apptivo","Client Relationship Management Vendor (technographic data for cyber exposures)"
"DiameterOfPipeline","0","Unknown",""
"DiameterOfPipeline","1","Small (<40 cm)",""
"DiameterOfPipeline","2","Large (≥ 40 cm)",""
"DefenseCost","0","Outside the limit (default)","Defense costs are covered outside of the policy limit (liability)"
"DefenseCost","1","Inside the limit","Defense costs are covered inside of the policy limit (liability)"
"DefenseCost","2","Not Covered","Defense costs are not covered by the policy (liability)"
"EmailVendor","0","Unknown","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","1","Gmail","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","2","Outlook","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","3","AOL","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","4","Yahoo","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","5","iCloud","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","6","Proton","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","7","Zoho","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","8","Yandex","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","9","GMX","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","10","HubSpot","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","11","Mail.com","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","12","Tutanota","Email Vendor (technographic data for cyber exposures)"
"EmailVendor","13","10 Minute Mail","Email Vendor (technographic data for cyber exposures)"
"EquipmentBracing","0","Unknown / default",""
"EquipmentBracing","1","Well-Braced",""
"EquipmentBracing","2","Average Bracing",""
"EquipmentBracing","3","Unbraced",""
"ExternalDoors","0","Unknown / default",""
"ExternalDoors","1","Single width Doors",""
"ExternalDoors","2","Double width Doors",""
"ExternalDoors","3","Reinforced single width doors",""
"ExternalDoors","4","Reinforced double width doors",""
"ExternalDoors","5","Sliding doors",""
"ExternalDoors","6","Reinforced sliding doors",""
"Fatigue","0","Unknown",""
"Fatigue","1","Vulnerable",""
"Fatigue","2","Average",""
"Fatigue","3","Resilient",""
"FEMACompliance","0","Unknown / default",""
"FEMACompliance","1","Yes",""
"FEMACompliance","2","No",""
"Flashing","0","Unknown",""
"Flashing","1","Vulnerable",""
"Flashing","2","Average",""
"Flashing","3","Resilient",""
"FloodDebrisResilience","0","Unknown",""
"FloodDebrisResilience","1","Vulnerable",""
"FloodDebrisResilience","2","Average",""
"FloodDebrisResilience","3","Resilient",""
"FoundationConnection","0","Unknown / default",""
"FoundationConnection","1","Hurricane ties",""
"FoundationConnection","2","Nails / Screws",""
"FoundationConnection","3","Anchor Bolts",""
"FoundationConnection","4","Gravity / Friction",""
"FoundationConnection","5","Adhesive / Epoxy",""
"FoundationConnection","6","Structurally Connected",""
"FoundationType","0","Unknown / default",""
"FoundationType","1","Masonry basement",""
"FoundationType","2","Concrete basement",""
"FoundationType","3","Masonry wall",""
"FoundationType","4","Crawl space cripple wall",""
"FoundationType","5","Crawl space masonry",""
"FoundationType","6","Post & pier",""
"FoundationType","7","Footing",""
"FoundationType","8","Mat / slab",""
"FoundationType","9","Pile",""
"FoundationType","10","No basement",""
"FoundationType","11","Engineering foundation",""
"FoundationType","12","Crawlspace - raised (wood)",""
"FoundationType","13","Monopile (offshore)","Large diameter steel tube inserted deep into the ground."
"FoundationType","14","Jacket on Caisson (SBJ) (Offshore)","3 or 4 legged jacket supported on suction-bucket (SBJ)."
"FoundationType","15","Jacket (offshore)","Generic code for seabed frame / jacket foundations."
"FoundationType","16","Jacket on Pin Piles (JPP)","3 or 4 legged jacket on pin piles (small diameter piles)."
"FoundationType","17","Gravity-based (offshore)","Large diameter concrete foundation shallowly embedded."
"FoundationType","18","Floating: spar (offshore)","A single hollow long ballasted steel cylinder moored to the seabed."
"FoundationType","19","Floating: Semisubmersible (offshore)","A floater consisting of number of columns and pontoons anchored to the seabed."
"FoundationType","20","Floating: Tension-Leg Platform (offshore)","A floating system stabilised with tensioned mooring and anchored to the seabed for buoyancy and stability."
"GeogScheme","CNTY","County","Example: Miami-Dade (US)"
"GeogScheme","CRH","High Resolution CRESTA","Example: GBR_SO31 8 (Southampton)"
"GeogScheme","CRL","Low Resolution CRESTA","Example: GBR_SO (Southampton)"
"GeogScheme","CRO","Old CRESTA","Example: 25 (Mexico City (earthquake))"
"GeogScheme","CRSL2","Province in CatRisk Solutions models","used in CatRisk Solutions models only"
"GeogScheme","CRSL3","CRESTA / Province in CatRisk Solutions models","used in CatRisk Solutions models only"
"GeogScheme","CRSL4","Municipality / Province in CatRisk Solutions models","used in CatRisk Solutions models only"
"GeogScheme","CRSL5","City in CatRisk Solutions models (bespoke list)","used in CatRisk Solutions models only"
"GeogScheme","CRSVG","Variable Resolution Grid (VRG) in CatRisk Solutions models","used in CatRisk Solutions models only"
"GeogScheme","GADM1","GADM level 1","Example: Badakhshan (https://gadm.org/index.html; e.g. province in Afghanistan)"
"GeogScheme","GADM2","GADM level 2","Example: Berzirk (https://gadm.org/index.html; e.g. district in Austria)"
"GeogScheme","GADM3","GADM level 3","Example: Zala (https://gadm.org/index.html; e.g. commune in Angola)"
"GeogScheme","GADM4","GADM level 4","Example: Merksplas (https://gadm.org/index.html; e.g. commune in Belgium)"
"GeogScheme","GADM5","GADM level 5","Example: Vitray (https://gadm.org/index.html; e.g. commune in France)"
"GeogScheme","GNAF","Australia's Geocoded National Address File","Example: Australia"
"GeogScheme","GPLUS","Google Plus","Example: 9C3XGW72+GG (https://plus.codes/howitworks; e.g. center of the dome of St.Pauls cathedral in London, UK)"
"GeogScheme","ICA","Insurance Council of Australia Zones","Example: Australia"
"GeogScheme","PC2","Postcode (2 characters)","Example: 80 (Europe, Germany)"
"GeogScheme","PC3","Postcode (3 characters)","Example: A2X (Canada)"
"GeogScheme","PC4","Postcode (4 characters)","Example: 2050 (Europe, Australia)"
"GeogScheme","PC5","Postcode (5 characters)","Example: 80801 (Germany)"
"GeogScheme","PC6","Postcode (6 characters)","Example: A2X A33 (Canada)"
"GeogScheme","PC7","Postcode (7 characters)","Example: Turkey, Japan"
"GeogScheme","PC8","Postcode (8 characters)",""
"GeogScheme","PC9","Postcode (9 characters)","Example: 80210-1121 (US zip + 4)"
"GeogScheme","PCD","Postcode District","Example: EC3A (UK)"
"GeogScheme","PCS","Postcode Sector","Example: EC3A 5 (UK)"
"GeogScheme","PCU","Postcode Unit","Example: EC3A 5NR (UK)"
"GeogScheme","JBA1","Admin level 1 - highest resolution for admin boundaries","used in JBA models only"
"GeogScheme","W3W","What 3 Words","3 random words on a 3m x 3m grid (data needs to be licensed)"
"GeogScheme","UPRN","UK property Reference Number (created by Ordnance Survey)",""
"GeogScheme","EIRCODE","Used in the Republic of Ireland",""
"GeogScheme","INSEE","Used in France but not supported by GADM.","French National Institute for Statistics and Economic Studies"
"GeogScheme","FTM1","Fathom admin boundaries","Used in Fathom model only"
"GlassType","0","Unknown",""
"GlassType","1","Annealed",""
"GlassType","2","Tempered",""
"GlassType","3","Heat strengthened",""
"GlassType","4","Laminated",""
"GlassType","5","Insulating glass units",""
"GroundEquipment","0","Unknown",""
"GroundEquipment","1","No equipment",""
"GroundEquipment","2","Vulnerable",""
"GroundEquipment","3","Average",""
"GroundEquipment","4","Resilient",""
"IndustryScheme","NAICS","North American Industry Classification System",""
"IndustryScheme","USSIC","Standard Industrial Classification (SIC) System",""
"IndustryScheme","UKSIC","UK Standard Industrial Classification of Economic Activities",""
"InternalPartition","0","Unknown / default",""
"InternalPartition","1","Wood",""
"InternalPartition","2","Gypsum boards",""
"InternalPartition","3","Plastered Masonry",""
"InternalPartition","4","Brick",""
"InternalPartition","5","Other",""
"IsAggregate","1","Is aggregated data using NumberOfBuildings field","NumberOfBuildings > 1 means aggregated data where number of locations is known; NumberOfBuildings = 0 or blank, means aggregated data where number of locations is unknown"
"IsAggregate","0","Is not aggregated using on NumberOfBuildings field","NumberOfBuildings >1 is a campus"
"IsGroupCover","0","No (default)","Is the policy coverage extended to subsidiaries of the insured party"
"IsGroupCover","1","Yes","Is the policy coverage extended to subsidiaries of the insured party"
"IsPackage","0","Standalone (default)","Policy type"
"IsPackage","1","Package","Policy type"
"LatticeType","0","Unknown / default",""
"LatticeType","1","Full web",""
"LatticeType","2","Grid",""
"LatticeType","3","Lattice",""
"MechanicalEquipmentSide","0","Unknown",""
"MechanicalEquipmentSide","1","Vulnerable",""
"MechanicalEquipmentSide","2","Average",""
"MechanicalEquipmentSide","3","Resilient",""
"MultiStoryHall","0","Unknown / default",""
"MultiStoryHall","1","No",""
"MultiStoryHall","2","Yes",""
"OccupantPeriod","0","Unknown/Default","Period of occupancy not specified. Defaults to period specified in model"
"OccupantPeriod","1","Night","Describes number of occupants during a typical night (e.g., night-time residents)"
"OccupantPeriod","2","Day","Describes number of occupants during a typical day (e.g., employees, school staff and children)"
"OccupantPeriod","3","Peak Season","Describes number of occupants during peak or high season for use or visitors - for example tourists"
"OccupantPeriod","4","Off-peak Season","Describes number of occupants during the off-peak or low season for use or visitors - for example tourists"
"OccupantPeriod","5","Night - peak season","Describes number of occupants during night-time peak season occupancy"
"OccupantPeriod","6","Day - peak season","Describes number of occupants during daytime peak season occupancy"
"OccupantPeriod","7","Night - Off-peak season","Describes number of occupants during night-time off-peak season occupancy"
"OccupantPeriod","8","Day - Off-peak season","Describes number of occupants during daytime off-peak season occupancy"
"Ornamentation","0","Unknown / default",""
"Ornamentation","1","",""
"Ornamentation","2","Average",""
"Ornamentation","3","Extensive",""
"OSVendor","0","Unknown","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","1","Windows","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","2","Linux","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","3","Apple Mac","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","4","Ubuntu","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","5","Fedora","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","6","Solaris","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","7","Chrome","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","8","CentOS","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","9","Debian","Operating System Vendor (technographic data for cyber exposures)"
"OSVendor","10","Deepin","Operating System Vendor (technographic data for cyber exposures)"
"Packaging","0","Unknown",""
"Packaging","1","Vulnerable",""
"Packaging","2","Average",""
"Packaging","3","Resilient",""
"PatchPolicy","0","Cadence of patches to the main system is Unknown","Main system patch policy (technographic data for cyber exposures)"
"PatchPolicy","1","Cadence of patches to the main system is Never","Main system patch policy (technographic data for cyber exposures)"
"PatchPolicy","2","Cadence of patches to the main system is Daily","Main system patch policy (technographic data for cyber exposures)"
"PatchPolicy","3","Cadence of patches to the main system is Weekly","Main system patch policy (technographic data for cyber exposures)"
"PatchPolicy","4","Cadence of patches to the main system is Monthly","Main system patch policy (technographic data for cyber exposures)"
"PatchPolicy","5","Cadence of patches to the main system is Annually","Main system patch policy (technographic data for cyber exposures)"
"PatchPolicy","6","Cadence of patches to the main system is Ad-hoc","Main system patch policy (technographic data for cyber exposures)"
"PayoutBasis","0","UNK","Unknown / default"
"PayoutBasis","1","ACV","Actual Cost Values"
"PayoutBasis","2","RCV","Replacement Cost Value"
"Pounding","0","Unknown / default",""
"Pounding","1","0-0.25 m",""
"Pounding","2","0.25-0.5 m",""
"Pounding","3","0.5-1.0 m",""
"Pounding","4","1.0-2.0 m",""
"Pounding","5",">2.0 m",""
"Protection","0","Unknown",""
"Protection","1","Vulnerable",""
"Protection","2","Average",""
"Protection","3","Resilient",""
"PumpingCapacity","0","Unknown",""
"PumpingCapacity","1","Small pumping capacity (<10 millions gallons per day (MGD)",""
"PumpingCapacity","2","Medium pumping capacity (10-50 MGD)",""
"PumpingCapacity","3","Large pumping capacity (>50 MGD)",""
"PumpingCapacity","4","Small Water Treatment Capacity (<50 MGD)",""
"PumpingCapacity","5","Medium Water Treatment Capacity (50-200 MGD)",""
"PumpingCapacity","6","Large Water Treatment Capacity (>200 MGD)",""
"PVControlType","0","Unknown",""
"PVControlType","1","Automatic",""
"PVControlType","2","Manual ",""
"PVMaterial","0","Unknown",""
"PVMaterial","1","Monocrystalline",""
"PVMaterial","2","Polycrystalline",""
"PVMaterial","3","Thin-Film",""
"PVMounting","0","Unknown",""
"PVMounting","1","Fixed-Tilt",""
"PVMounting","2","Single-Axis",""
"PVMounting","3","Duel-Axis",""
"PVStowing","0","Unknown",""
"PVStowing","1","Yes",""
"PVStowing","2","No",""
"Redundancy","0","Unknown / default",""
"Redundancy","1","No",""
"Redundancy","2","Yes",""
"ReinsType","AXL","Aggregate Excess of Loss",""
"ReinsType","CXL","Catastrophe Excess of Loss",""
"ReinsType","FAC","Facultative reinsurance",""
"ReinsType","PR","Per risk treaty",""
"ReinsType","QS","Quota Share",""
"ReinsType","SS","Surplus Share",""
"Retrofit","0","Unknown / default",""
"Retrofit","1","Bracing of cripple walls",""
"Retrofit","2","Bracing of parapets",""
"Retrofit","3","Bracing of soft-story",""
"Retrofit","4","Foundation anchorage (bolting)",""
"Retrofit","5","Glass/window strengthening",""
"Retrofit","6","Tilt Up",""
"Retrofit","7","General",""
"RiskLevel","","No risk terms",""
"RiskLevel","ACC","Account",""
"RiskLevel","LGR","Location Group",""
"RiskLevel","LOC","Location",""
"RiskLevel","POL","Policy",""
"RoofAnchorage","0","Unknown / default",""
"RoofAnchorage","1","Hurricane Ties",""
"RoofAnchorage","2","Nails / Screws",""
"RoofAnchorage","3","Anchor bolts",""
"RoofAnchorage","4","Gravity / friction",""
"RoofAnchorage","5","Adhesive epoxy",""
"RoofAnchorage","6","Structurally Connected",""
"RoofAnchorage","7","Clips",""
"RoofAnchorage","8","Double wraps",""
"RoofAnchorage","9","Single wraps",""
"RoofAttachedStructures","0","Unknown / default",""
"RoofAttachedStructures","1","Chimneys",""
"RoofAttachedStructures","10","Overhang/Rake (> 36 in)",""
"RoofAttachedStructures","11","Waterproof membrane/fabric",""
"RoofAttachedStructures","12","Secondary water resistance - Yes",""
"RoofAttachedStructures","13","Secondary water resistance - No",""
"RoofAttachedStructures","14","Solar Panels with ballast",""
"RoofAttachedStructures","15","Solar panels mechanically attached",""
"RoofAttachedStructures","2","A/C Units",""
"RoofAttachedStructures","3","Skylights",""
"RoofAttachedStructures","4","Parapet Walls",""
"RoofAttachedStructures","5","Overhang/Rake (8-36 in)",""
"RoofAttachedStructures","6","Dormers",""
"RoofAttachedStructures","7","Other",""
"RoofAttachedStructures","8","No Attached Structures",""
"RoofAttachedStructures","9","Overhang/Rake (< 8 in)",""
"RoofCover","0","Unknown / default",""
"RoofCover","1","Asphalt shingles",""
"RoofCover","10","Single ply membrane ballasted",""
"RoofCover","11","Hurricane Wind-Rated Roof Coverings",""
"RoofCover","12","Composition (Fiberglass, Asphalt, etc)",""
"RoofCover","13","Asbestos shakes",""
"RoofCover","14","Copper",""
"RoofCover","15","Concrete (not tile)",""
"RoofCover","16","Reinforced concrete",""
"RoofCover","18","Plastic",""
"RoofCover","19","Fiberglass",""
"RoofCover","2","Wooden shingles",""
"RoofCover","20","Steel",""
"RoofCover","21","Plywood",""
"RoofCover","22","Rubber",""
"RoofCover","23","Tin",""
"RoofCover","24","Aluminium",""
"RoofCover","25","Foam",""
"RoofCover","26","Thatch",""
"RoofCover","27","Felt",""
"RoofCover","28","Zinc",""
"RoofCover","3","Clay/concrete tiles",""
"RoofCover","4","Light metal panels",""
"RoofCover","5","Slate",""
"RoofCover","6","Built-up roof with gravel",""
"RoofCover","7","Single ply membrane",""
"RoofCover","8","Standing seam metal roofs",""
"RoofCover","9","Built-up roof without gravel",""
"RoofCoverAttachment","0","Unknown / default",""
"RoofCoverAttachment","1","Screws",""
"RoofCoverAttachment","2","Nails/staples",""
"RoofCoverAttachment","3","Adhesive/epoxy",""
"RoofCoverAttachment","4","Mortar",""
"RoofDeck","0","Unknown / default",""
"RoofDeck","1","Plywood",""
"RoofDeck","2","Wood planks",""
"RoofDeck","3","Particle board / OSB",""
"RoofDeck","4","Metal deck with insulation board",""
"RoofDeck","5","Metal deck with concrete",""
"RoofDeck","6","Pre-cast concrete slabs",""
"RoofDeck","7","Reinforced concrete slabs",""
"RoofDeck","8","Light metal",""
"RoofDeckAttachment","0","Unknown / default",""
"RoofDeckAttachment","1","Screws / bolts",""
"RoofDeckAttachment","2","Nails",""
"RoofDeckAttachment","3","Adhesive / epoxy",""
"RoofDeckAttachment","4","Structurally connected",""
"RoofDeckAttachment","5","6d nails @ 6 spacing, 12 on center",""
"RoofDeckAttachment","6","8d nails @ 6 spacing, 12 on center",""
"RoofDeckAttachment","7","8d nails @ 6 spacing, 6 on center",""
"RoofEquipment","0","Unknown",""
"RoofEquipment","1","No equipment",""
"RoofEquipment","2","Vulnerable",""
"RoofEquipment","3","Average",""
"RoofEquipment","4","Resilient",""
"RoofFrame","0","Unknown",""
"RoofFrame","1","Reinforced Concrete",""
"RoofFrame","2","Steel",""
"RoofFrame","3","Light Metal",""
"RoofFrame","4","Wood",""
"RoofGeometry","0","Unknown / default",""
"RoofGeometry","1","Flat",""
"RoofGeometry","10","Gambrel",""
"RoofGeometry","11","Butterfly",""
"RoofGeometry","12","Saltbox",""
"RoofGeometry","2","Gable end without bracing",""
"RoofGeometry","3","Hip",""
"RoofGeometry","4","Complex",""
"RoofGeometry","5","Stepped",""
"RoofGeometry","6","Shed",""
"RoofGeometry","7","Mansard",""
"RoofGeometry","8","Gable end with bracing",""
"RoofGeometry","9","Pyramid",""
"RoofMaintenance","0","Unknown",""
"RoofMaintenance","1","Vulnerable",""
"RoofMaintenance","2","Average",""
"RoofMaintenance","3","Resilient",""
"RoofPitch","0","Unknown / default",""
"RoofPitch","1","Low (<10°)",""
"RoofPitch","2","Medium (10° to 30°)",""
"RoofPitch","3","High (>30°)",""
"SalvageProtection","0","Unknown",""
