File Name,Input Field Name,Type & Description,Property field status,Data Type,Default,Valid value range,Cyber field status,Liability field status,Marine Cargo field status,version_number
Acc,AccLimitCode3Contents,Account contents limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimitType3Contents,Account contents limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimit3Contents,Account contents limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccLimitCode4BI,Account BI limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimitType4BI,Account BI limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimit4BI,Account BI limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccLimitCode5PD,Account PD limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimitType5PD,Account PD limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimit5PD,Account PD limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccLimitCode6All,Account blanket limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimitType6All,Account blanket limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimit6All,Account blanket limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolNumber,Policy layer number,R,,,,n/a,n/a,n/a,1.1.2
Acc,PolStatus,"Policy layer status. Aside from predefined values, other single character values for user specific purposes can be used.",O,,,,n/a,n/a,n/a,1.1.2
Acc,PolInceptionDate,Policy inception date - in ISO 8601 format: YYYY-MM-DD,O,,,,n/a,n/a,n/a,1.1.2
Acc,PolExpiryDate,Policy expiry date - in ISO 8601 format: YYYY-MM-DD,O,,,,n/a,n/a,n/a,1.1.2
Acc,ProducerName,Producer name (defined at policy level),O,,,,n/a,n/a,n/a,1.1.2
Acc,Underwriter,Underwriter name,O,,,,n/a,n/a,n/a,1.1.2
Acc,BranchName,Branch name,O,,,,n/a,n/a,n/a,1.1.2
Acc,LOB,Line of business (defined at policy level),O,,,,n/a,n/a,n/a,1.1.2
Acc,ExpiringPolNumber,Expiring policy number,O,,,,n/a,n/a,n/a,1.1.2
Acc,PolPerilsCovered,Policy perils covered,R,,,,n/a,n/a,n/a,1.1.2
Acc,PolGrossPremium,Policy gross premium,O,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolTax,Policy insurance tax amount,O,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolBrokerage,Policy brokerage amount,O,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolNetPremium,Policy net premium,O,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,LayerNumber,Layer number,O,,1,"[1,)",n/a,n/a,n/a,1.1.2
Acc,LayerParticipation,Insurance company share of the policy layer. Values between 0 to 1 (e.g. 12% entered as 0.12),O,,1,"[0,1]",n/a,n/a,n/a,1.1.2
Acc,LayerLimit,Policy layer limit (always treated as amount),O,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,LayerAttachment,Policy layer attachment point (always treated as amount),O,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,HoursClause,"For perils with an inherent event duration, the insurance contract may contain an hours clause that limits the time in which claims can be added up and assigned to one event",O,,,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolPeril,Perils for policy financial terms,CR,,,,n/a,n/a,n/a,1.1.2
Acc,PolDedCode1Building,Policy building deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDedType1Building,Policy building deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDed1Building,Policy building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMinDed1Building,Policy minimum building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMaxDed1Building,Policy maximum building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolDedCode2Other,Policy other building deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDedType2Other,Policy other building deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDed2Other,Policy other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMinDed2Other,Policy minimum other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMaxDed2Other,Policy maximum other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolDedCode3Contents,Policy contents deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDedType3Contents,Policy contents deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDed3Contents,Policy contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMinDed3Contents,Policy minimum contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMaxDed3Contents,Policy maximum contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolDedCode4BI,Policy BI deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDedType4BI,Policy BI deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDed4BI,Policy BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMinDed4BI,Policy minimum BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMaxDed4BI,Policy maximum BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolDedCode5PD,Policy PD deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDedType5PD,Policy PD deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDed5PD,Policy PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMinDed5PD,Policy minimum PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMaxDed5PD,Policy maximum PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolDedCode6All,Policy blanket deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDedType6All,Policy blanket deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolDed6All,Policy blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMinDed6All,Policy minimum blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolMaxDed6All,Policy maximum blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolLimitCode1Building,Policy building limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimitType1Building,Policy building limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimit1Building,Policy building limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolLimitCode2Other,Policy other building limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimitType2Other,Policy other building limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimit2Other,Policy other building limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolLimitCode3Contents,Policy contents limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimitType3Contents,Policy contents limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimit3Contents,Policy contents limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolLimitCode4BI,Policy BI limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimitType4BI,Policy BI limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimit4BI,Policy BI limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolLimitCode5PD,Policy PD limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimitType5PD,Policy PD limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimit5PD,Policy PD limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PolLimitCode6All,Policy blanket limit code (annual aggregate only),O,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimitType6All,Policy blanket limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolLimit6All,Policy blanket limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,StepFunctionName,Step function name,CR,,,,n/a,n/a,n/a,1.1.2
Acc,StepTriggerType,"Code that represents how, and for which coverages, pay-outs are triggered.",CR,,,,n/a,n/a,n/a,1.1.2
Acc,StepNumber,Number between 1 and 10 that is used to sort the step function in the correct order.,CR,,,"[0,10]",n/a,n/a,n/a,1.1.2
Acc,PayOutType,"Refers to PayoutBuilding, PayoutContents, PayoutBuildingContents. Payout can be % TIV, % Loss, a monetary amount, or % Limit.",CR,,,,n/a,n/a,n/a,1.1.2
Acc,TriggerType,"Refers to TriggerStart and TriggerEnd fields which could be specified as a % TIV, % Loss or a monetary amount.",CR,,,,n/a,n/a,n/a,1.1.2
Acc,TriggerBuildingStart,Starting value of the building damage range over which the corresponding pay-out(s) should be made.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,TriggerBuildingEnd,Ending value of the building damage range over which the corresponding pay-out(s) should be made.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,DeductibleBuilding,"Building deductible that can be used, for example, to account for fire policies before applying step functions.",CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutBuildingStart,Pay-out amount for the building losses for this step. If a ramp policy then it represents the start payout value.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutBuildingEnd,"Pay-out amount for the end-point building losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the building payout. Otherwise, it should be left blank.",CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutLimitBuilding,Pay-out limit for building,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,TriggerContentsStart,Starting value of the content damage range over which the corresponding pay-out(s) should be made.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,TriggerContentsEnd,Ending value of the content damage range over which the corresponding pay-out(s) should be made.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,DeductibleContents,"Content deductible that can be used, for example, to account for fire policies before applying step functions.",CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutContentsStart,Pay-out amount for the contents losses for this step. If a ramp policy then it represents the start payout value.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutContentsEnd,"Pay-out amount for the end-point contents losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the contents payout. Otherwise, it should be left blank.",CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutLimitContents,Pay-out limit for contents,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,TriggerBuildingContentsStart,Starting value of the building and content damage range over which the corresponding pay-out(s) should be made.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,TriggerBuildingContentsEnd,Ending value of the building and content damage range over which the corresponding pay-out(s) should be made.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,DeductibleBuildingContents,"Building and contents deductible that can be used, for example, to account for fire policies before applying step functions.",CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutBuildingContentsStart,Pay-out amount for the building and contents losses for this step. If a ramp policy then it represents the start payout value.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutBuildingContentsEnd,"Pay-out amount for the end-point building and contents losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the building and contents payout. Otherwise, it should be left blank.",CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,PayOutLimitBuildingContents,Pay-out limit for building and contents,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,ExtraExpenseFactor,"A factor that is applied to main coverage loss for extra expenses. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ≤1. For example, 0.12 for 12%.",CR,,1,"[0,1]",n/a,n/a,n/a,1.1.2
Acc,ExtraExpenseLimit,A limit that applies to the total extra expense loss,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,DebrisRemovalFactor,"A factor for a conditional coverage which tends to apply to all steps and is to cover Debris Removal. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ≤1. For example, 0.12 for 12%.",CR,,1,"[0,1]",n/a,n/a,n/a,1.1.2
Acc,MinimumTIV,Minimum replacement value for which pay-outs to the corresponding damage range will be allowed.,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,ScaleFactor,"Percentage factor used to scale calculated losses. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ≤1. For example, 0.12 for 12%.",CR,,1,"[0,1]",n/a,n/a,n/a,1.1.2
Acc,IsLimitAtDamage,Indicates whether the pay-out is limited by the actual ground-up loss.,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,PolUserDef1,Policy user defined field,O,,,,n/a,n/a,n/a,1.1.2
Acc,PolUserDef2,Policy user defined field,O,,,,n/a,n/a,n/a,1.1.2
Acc,PolUserDef3,Policy user defined field,O,,,,n/a,n/a,n/a,1.1.2
Acc,PolUserDef4,Policy user defined field,O,,,,n/a,n/a,n/a,1.1.2
Acc,PolUserDef5,Policy user defined field,O,,,,n/a,n/a,n/a,1.1.2
Acc,FlexiPolZZZ,Flexible field that is stored in FlexiPol table in ModifierName = ZZZ,O,,,,n/a,n/a,n/a,1.1.2
Acc,CondNumber,Condition number (must be the same if condition repeats on several policy layers),CR,,,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondName,Condition name (must be the same if condition repeats on several policy layers). Description that relates to CondNumber.,O,,,,n/a,n/a,n/a,1.1.2
Acc,CondPriority,Condition priority: specifies the order in which special conditions apply if multiple conditions apply to one location.,CR,,,"[1,)",n/a,n/a,n/a,1.1.2
Acc,CondPeril,Perils for condition financial terms,CR,,,,n/a,n/a,n/a,1.1.2
Acc,CondDedCode1Building,Special condition building deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDedType1Building,Special condition building deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDed1Building,Special condition building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMinDed1Building,Special condition minimum building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMaxDed1Building,Special condition maximum building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondDedCode2Other,Special condition other building deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDedType2Other,Special condition other building deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDed2Other,Special condition other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMinDed2Other,Special condition minimum other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMaxDed2Other,Special condition maximum other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondDedCode3Contents,Special condition contents deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDedType3Contents,Special condition contents deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDed3Contents,Special condition contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMinDed3Contents,Special condition minimum contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMaxDed3Contents,Special condition maximum contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondDedCode4BI,Special condition BI deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDedType4BI,Special condition BI deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDed4BI,Special condition BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMinDed4BI,Special condition minimum BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMaxDed4BI,Special condition maximum BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondDedCode5PD,Special condition PD deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDedType5PD,Special condition PD deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDed5PD,Special condition PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMinDed5PD,Special condition minimum PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMaxDed5PD,Special condition maximum PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondDedCode6All,Special condition blanket deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDedType6All,Special condition blanket deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondDed6All,Special condition blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMinDed6All,Special condition minimum blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondMaxDed6All,Special condition maximum blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondLimitCode1Building,Special condition building limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimitType1Building,Special condition building limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimit1Building,Special condition building limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondLimitCode2Other,Special condition other building limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimitType2Other,Special condition other building limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimit2Other,Special condition other building limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondLimitCode3Contents,Special condition contents limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimitType3Contents,Special condition contents limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimit3Contents,Special condition contents limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondLimitCode4BI,Special condition BI limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimitType4BI,Special condition BI limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimit4BI,Special condition BI limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondLimitCode5PD,Special condition PD limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimitType5PD,Special condition PD limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimit5PD,Special condition PD limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,CondLimitCode6All,Special condition blanket limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimitType6All,Special condition blanket limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,CondLimit6All,Special condition blanket limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Loc,LocNumber,Location number,R,,,,n/a,n/a,n/a,1.1.2
Loc,LocName,Location name,O,,,,n/a,n/a,n/a,1.1.2
Loc,LocGroup,Location group name,O,,,,n/a,n/a,n/a,1.1.2
Loc,CorrelationGroup,Correlation Group: indicates which locations should be correlated between each other in Oasis LMF.,O,,,"[0,)",n/a,n/a,n/a,1.1.2
Loc,IsPrimary,Whether the location in LocGroup is the primary building in the group,O,,1,,n/a,n/a,n/a,1.1.2
Loc,IsTenant,Whether property is occupied by a tenant or not,O,,0,,n/a,n/a,n/a,1.1.2
Loc,BuildingID,Unique building identification number,O,,,,n/a,n/a,n/a,1.1.2
Loc,LocInceptionDate,Location inception date - in ISO 8601 format: YYYY-MM-DD,O,,,,n/a,n/a,n/a,1.1.2
Loc,LocExpiryDate,Location expiry date - in ISO 8601 format: YYYY-MM-DD,O,,,,n/a,n/a,n/a,1.1.2
Loc,PercentComplete,Completeness percentage of the construction project at this location. The project completion percentage is by the cost of the project. Values between 0 to 1 (e.g. 12% enterd as 0.12),O,,1,"[0,1]",n/a,n/a,n/a,1.1.2
Loc,CompletionDate,Construction project completion date - in ISO 8601 format: YYYY-MM-DD,O,,,,n/a,n/a,n/a,1.1.2
Loc,CountryCode,Country code (based on ISO3166 alpha-2 codes),R,,,,n/a,n/a,n/a,1.1.2
Loc,Latitude,Latitude in degrees (-90.0 to +90.0),O,,0,"[-90,90]",n/a,n/a,n/a,1.1.2
Loc,Longitude,Longitude in degrees (-180.0 to +180.0),O,,0,"[180,180]",n/a,n/a,n/a,1.1.2
Loc,StreetAddress,Street address including house number ,O,,,,n/a,n/a,n/a,1.1.2
Loc,PostalCode,Postcode: the highest resolution postcode most often used. (e.g. 5 digit zip for the US).,O,,,,n/a,n/a,n/a,1.1.2
Loc,City,City,O,,,,n/a,n/a,n/a,1.1.2
Loc,AreaCode,Code representing typically the largest sub-division in a country (e.g. State code). See AreaCode Values sheet for details.,O,,,,n/a,n/a,n/a,1.1.2
Loc,AreaName,Name relating to the AreaCode (e.g. State name). See AreaCode Values sheet for details.,O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogScheme1,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogName1,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogScheme2,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogName2,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogScheme3,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogName3,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,,,,n/a,n/a,n/a,1.1.2
Loc,GeogScheme4,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,,,,n/a,n/a,n/a,1.1.2
