"Category","OED Code","CEDE code","Name","Description","Code Range","Broad Category"
"Construction","5202","153","Steel, Braced steel frame","Buildings constructed with steel columns and beams that are braced with diagonal steel members to resist lateral forces.","5200 - 5249","Steel"
"Construction","5203","154","Steel, Steel mrf perimeter","Buildings constructed with steel columns and beams that are braced with diagonal steel members to resist lateral forces.","5200 - 5249","Steel"
"Construction","5204","155","Steel, Steel mrf distributed","Buildings constructed with steel columns and beams to carry lateral loads distributed throughout the building. The diaphragms are usually concrete, sometimes over steel decking. This structural type is seldom used for low-rise buildings.","5200 - 5249","Steel"
"Construction","5205","156","Steel, Steel mrf","Steel MRF buildings consist of structural steel columns and beams. Lateral loads due to earthquakes are carried by the ""moment-resisting frames,"" but the locations of the moment-resisting frames in the building are unknown.","5200 - 5249","Steel"
"Construction","5206","157","Steel, Steel frame w/ URM","Structural steel columns and beams form ""moment-resisting frames"" to carry lateral loads due to earthquakes. Unreinforced masonry walls are used as infills between the columns to add lateral load resistance, but are not intended to serve as vertical load-bearing elements. Sometimes the steel frames are completely hidden in the masonry walls.","5200 - 5249","Steel"
"Construction","5207","158","Steel, Steel frame w/ concrete shear wall","Structural steel columns and beams form exterior frames, but the joints are not designed for moment resistance. Lateral loads due to earthquakes are carried by reinforced concrete ""shear"" walls. The concrete walls are continuous from the foundation to the roof.","5200 - 5249","Steel"
"Construction","5208","159","Steel, Steel reinforced concrete","Structural steel sections (beams and columns) are encased in reinforced concrete. The encased structural steel columns are sometimes discontinued in the upper portions of the buildings, making the columns in the upper floor regular reinforced concrete columns.","5200 - 5249","Steel"
"Construction","5209","160","Steel, Steel long span","Steel long-span buildings create unobstructed, column-free spaces greater than 100 feet for a variety of activities or functions. These include activities where visibility is important for large audiences (e.g., auditoriums and covered stadiums), where flexibility is important (e.g., exhibition halls and certain types of manufacturing facilities), and where large movable objects are housed. Two-hinge (made of a single member hinged at each end) and three-hinge (made of two members hinged at each end and at the meeting point at the crown) trussed arches are widely used.","5200 - 5249","Steel"
"Construction","5251","161","Composite, FM – Fire res RC Apt. Masonry dwellings","New residential fire code; concrete, concrete block, masonry, stone, fire-resistant dwellings.","5250 - 5299","Composite - Japan"
"Construction","5252","162","Composite, FT – Fire res non-apt dwl RC mas/stl","New residential fire code; steel, semi-fire-resistant.","5250 - 5299","Composite - Japan"
"Construction","5253","163","Composite, FH – Dwellings other than FM, FT","New residential fire code; other dwellings.","5250 - 5299","Composite - Japan"
"Construction","5254","164","Composite, F1 – Fire res RC and masonry bldg","New commercial fire code; concrete, concrete block, masonry, stone, fire-resistant dwellings.","5250 - 5299","Composite - Japan"
"Construction","5255","165","Composite, F2 – Semi-fire res and steel bldg","New commercial fire code; steel, semi-fire-resistant.","5250 - 5299","Composite - Japan"
"Construction","5256","166","Composite, F3 – Buildings other than F1,F2","New commercial fire code; other dwellings.","5250 - 5299","Composite - Japan"
"Construction","5257","171","Composite, A: Fire-resistive dwellings","Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material.","5250 - 5299","Composite - Japan"
"Construction","5258","172","Composite, B: Semi-fire-resistive dwellings","(1) External walls consist of any one of the following: concrete, concrete material, brick or stone masonry. (2) Steel structure with external walls of nonflammable material or covered with noncombustible material.","5250 - 5299","Composite - Japan"
"Construction","5259","173","Composite, C: Slow-burning dwellings","(1) Wood frame with external walls of any of the following: cement or mortar plating, stone pitching or tile hinging. (2) Steel structure that does not come under Class B. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.","5250 - 5299","Composite - Japan"
"Construction","5260","174","Composite, D: Dwelling other than A, B or C","Building other than Class A, B, and C.","5250 - 5299","Composite - Japan"
"Construction","5261","175","Composite, Sp: Fire-resistive concrete buildings","Main structure (column, beam, and floor) is constructed of concrete and all external walls are of any one of the following: concrete, concrete material, brick, or stone masonry.","5250 - 5299","Composite - Japan"
"Construction","5262","176","Composite, 1: Fire-resistive buildings other","(1) Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material. (2) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls are built of or covered by nonflammable and/or semi-nonflammable material. Column, beam, floor, and external walls are to be resistant against the heat under normal fire conditions for at least 1 hour.","5250 - 5299","Composite - Japan"
"Construction","5263","177","Composite, 2: Semi-fire-resistive buildings","(1) External walls consist of any one of the following: concrete / concrete block / brick / stone masonry. (2) Steel structure with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (3) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls consist of or are covered by nonflammable and/or semi-nonflammable materials. Column, beam, floor, and external walls to be resistant against the heat under normal fire conditions for at least 45 minutes.","5250 - 5299","Composite - Japan"
"Construction","5264","178","Composite, 3: Slow-burning buildings","(1) Wood frame (and not applicable to Class 1 or 2) with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (2) Steel structure that does not come under Class 1 or 2. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.","5250 - 5299","Composite - Japan"
"Construction","5265","179","Composite, 4: Other than Sp, 1, 2, or 3","Buildings other than Class SP, 1, 2, and 3.","5250 - 5299","Composite - Japan"
"Construction","5301","181","Special, Long-span","Building constructed with steel frame and metal siding and roof of wood or other combustible material. Typically gymnasiums or auditoriums.","5300 - 5349","Special"
"Construction","5302","182","Special, Semi-wind resistive","A building for which a licensed engineer does not design the structure, but an attempt is made to build in accordance with an accepted wind building code; code compliance is not assured. Some engineering input may have occurred. Most of the details in a wind resistive structure are found in a semi-wind resistive structure, but not all components are wind resistive.","5300 - 5349","Special"
"Construction","5303","183","Special, Wind resistive","A structure that was designed by a licensed engineer to comply with the wind code. Characterized by the presence of properly sized wind-resistant connectors, adequate bracing, and a continuous load path from the roof to the foundation (i.e., the roof is tied to the walls, the floors are attached to each other, and the walls are tied to the foundation).","5300 - 5349","Special"
"Construction","5304","185","Special, Unknown glass","Code for the U.S. Hurricane Plate Glass Module when the type of glass is unknown","5300 - 5349","Special"
"Construction","5305","186","Special, Safety glass","Safety glass includes fully tempered and laminated glass. Fully tempered glass is created by heating common annealed glass uniformly to make a high-strengthened glass. Laminated glass is made by sandwiching a plastic sheet between two glass panels, which prevents shattering and helps maintains the integrity of the building envelop even after its breakage.","5300 - 5349","Special"
"Construction","5306","187","Special, Impact resistance glass","Impact-resistant glass similar to laminated glass (as described above), which has been tested to resist breakage from flying debris during hurricanes. Impact-resistant glass is typically thicker than safety glass and is packaged as a unit that includes a special frame.","5300 - 5349","Special"
"Construction","5309","N/A","Special, Basement Flood Loss - High Value","Buildings with high-value equipment stored in the basement such as subways and other buildings with generators located in the basement etc. which are very sensitive to flood.","5300-5349","Special"
"Construction","5310","N/A","Special, Flood Resistance General","Buildings in general, designed and built with good flooding resistances, excluding bridges, dams and water tower having minimal flood damage","5300-5349","Special"
"Construction","5350","191","Mobile Homes, Mobile Homes","Represents a weighted average of tie-down types, including no tie-downs. Use this code for a mobile home (manufactured home) when the tie-down information is unknown.","5350 - 5399","Mobile Homes"
"Construction","5351","192","Mobile Homes, Mobile homes no tie down","Use this code for a mobile home (manufactured home) with no anchoring systems present.","5350 - 5399","Mobile Homes"
"Construction","5352","193","Mobile Homes, Mobile homes part tie down","Use this code for a mobile home (manufactured home) when the tie-downs are either over-the-top ties or frame ties, but not both, or with fewer ties than recommended by the manufacturer.","5350 - 5399","Mobile Homes"
"Construction","5353","194","Mobile Homes, Mobile homes full tie down","Use this code for a mobile home (manufactured home) when the anchoring system uses both over-the-top ties and frame ties. Typically, ten frame ties and seven over-the-top ties are required for full tie-down in single-wide mobile homes.","5350 - 5399","Mobile Homes"
"Construction","5354","N/A","Mobile Homes, Double Wide","Same as Mobile homes tied down but having double width living unit and in general more wind resistive ","535-5399","Mobile Homes"
"Construction","5400","2010","Bridges, Unknown Bridge","Seismically or non-seismically designed highway bridges with individual span length less than 500 feet with unknown material of construction, unknown number of spans, and unknown support conditions, or other unknown bridges that cannot be mapped to any of the other bridge construction class codes.","5400 - 5449","Bridges"
"Construction","5401","201","Bridges, Conventional multiple span bridges","Bridges having multiple simple spans with each span being less than 500 feet. These bridges may be constructed of concrete, steel, or timber.","5400 - 5449","Bridges"
"Construction","5402","202","Bridges, Conventional continuous bridges","Bridges having continuous spans of less than 500 feet. These bridges may be constructed of concrete, steel, or timber.","5400 - 5449","Bridges"
"Construction","5403","203; 2031","Bridges, Major bridges","Bridges having individual spans of 500 feet or more. These bridges may be constructed of concrete or steel.","5400 - 5449","Bridges"
"Construction","5404","2011","Bridges, Multispan simply supported CONCRETE","Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.","5400 - 5449","Bridges"
"Construction","5405","2012","Bridges, Multispan simply supported STEEL","Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.","5400 - 5449","Bridges"
"Construction","5406","2013","Bridges, Single Span Bridge","Seismically or non-seismically designed highway bridges constructed of steel or concrete and with a single span less than 500 feet spanning between abutments without intermediate piers. For single span bridges, the construction material does not matter.","5400 - 5449","Bridges"
"Construction","5407","2015","Bridges, General Concrete","Seismically or non-seismically designed highway bridges constructed of concrete with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.","5400 - 5449","Bridges"
"Construction","5408","2016","Bridges, General Steel","Seismically or non-seismically designed highway bridges constructed of steel with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.","5400 - 5449","Bridges"
"Construction","5409","2021","Bridges, Multispan continuous CONCRETE","Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.","5400 - 5449","Bridges"
"Construction","5410","2022","Bridges, Multispan continuous STEEL","Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.","5400 - 5449","Bridges"
"Construction","5451","N/A","Railways, General","General railways or railroads of unknown rail typology","5450 - 5499","Railways"
"Construction","5452","N/A","Highways, General","General highways or pavements constructed of either concrete, asphalt, or gravel ","5450 - 5499","Highways"
"Construction","5453","206","Pavements, Runways","Concrete or asphalt airport runways.","5450 - 5499","Pavements"
"Construction","5454","N/A","Highways, Motorways","Motorway: restricted access major divided highway (i.e. freeway), normally with 2 or more running lanes plus emergency hard shoulder","5450 - 5499","Highways"
"Construction","5455","N/A","Highways, Trunk road","Trunk: the most important roads in a country's system that aren't motorways (not necessarily be a divided highway)","5450 - 5499","Highways"
"Construction","5456","N/A","Highways, Primary roads","Primary: the next most important roads in a country's system (often link larger towns)","5450 - 5499","Highways"
"Construction","5457","N/A","Highways, Seconday roads","Secondary: the next most important roads in a country's system (often link towns)","5450 - 5499","Highways"
"Construction","5458","N/A","Highways, Tertiary roads","Tertiary: the next most important roads in a country's system (often link smaller towns and villages)","5450 - 5499","Highways"
"Construction","5459","N/A","Highways, Unclassified roads","Unclassified: the least important through roads in a country's system (often link villages and hamlets)","5450 - 5499","Highways"
"Construction","5460","N/A","Highways, Residential roads","Residential: roads which serve as an access to housing, without function of connecting settlements. Often lined with housing.","5450 - 5499","Highways"
"Construction","5461","N/A","Highways, Service road","Service: access roads to, or within an industrial estate, camp site, business park, car park etc.","5450 - 5499","Highways"
"Construction","5463","N/A","Railways, light rail","Light rail: a higher-standard tram system, normally in its own right-of-way. Often reaches a considerable length (tens of kilometer)","5450 - 5499","Railways"
"Construction","5464","N/A","Railways, Monorail","Monorail: a single-rail railway","5450 - 5499","Railways"
"Construction","5465","N/A","Railways, Standard gauge","Rail: full sized passenger or freight trains in the standard gauge for the country or state","5450 - 5499","Railways"
"Construction","5466","N/A","Railways, Subway","Subway: a city passenger underground rail service running mostly grade separated","5450 - 5499","Railways"
"Construction","5467","N/A","Railways, Tram","Tram: one or two carriage rail vehicles, usually sharing motor road.","5450 - 5499","Railways"
"Construction","5501","211","Dams, Concrete dams","Poured in place reinforced concrete dams.","5500 - 5549","Dams"
"Construction","5502","212","Dams, Earthfill dams","Dams constructed from earth.","5500 - 5549","Dams"
"Construction","5503","N/A","Dam, General","Dams in general where material or type is unknown","5500-5549","Dams"
"Construction","5550","2150","Tunnels, Unknown Tunnel","Lined or unlined tunnels with unknown material and unknown method of construction, or other tunnels that cannot be mapped to any of the other tunnel construction class codes.","5550 - 5599","Tunnels"
"Construction","5551","213; 2131","Tunnels, Alluvium tunnels","Tunnels that were drilled through unconsolidated sedimentary deposits and then typically lined with concrete.","5550 - 5599","Tunnels"
"Construction","5552","214; 2141","Tunnels, Rock tunnels","Rock tunnels are lined or unlined tunnels that were drilled through rock.","5550 - 5599","Tunnels"
"Construction","5553","215","Tunnels, Cut and cover tunnels","Tunnels that were constructed by cutting a trench, installing a liner, and then covering the liner with earth.","5550 - 5599","Tunnels"
"Construction","5554","2151","Tunnels, Rock Cut and Cover Tunnels","Lined or unlined rock tunnels constructed after excavating a trench and roofing over with an overhead support system.","5550 - 5599","Tunnels"
"Construction","5555","2152","Tunnels, Alluvial Cut and Cover Tunnels","Lined or unlined alluvium tunnels constructed after excavating a trench and roofing over with an overhead support system.","5550 - 5599","Tunnels"
"Construction","5556","2132","Tunnels, Alluvial Bored Tunnels","Lined or unlined tunnels constructed through alluvium soil using a boring machine.","5550 - 5599","Tunnels"
"Construction","5557","2142","Tunnels, Rock Bored Tunnels","Lined or unlined tunnels drilled through rock using a boring machine.","5550 - 5599","Tunnels"
"Construction","5600","2210","Tanks, Unknown Tanks","Storage tanks with an unknown material, unknown location, and unknown contents, or other unknowns that cannot be mapped to any of the other storage tank construction class codes.","5600 - 5649","Tanks"
"Construction","5601","221; 2211","Tanks, Underground Liquid Tanks","Storage tanks made of steel or concrete for holding liquids and located under the ground.","5600 - 5649","Tanks"
"Construction","5602","222; 2221","Tanks, Underground Solid Tanks","Storage tanks made of steel or concrete for holding solid material and located under the ground.","5600 - 5649","Tanks"
"Construction","5603","223; 2231","Tanks, On Ground Liquid Tanks","Storage tanks located on the ground surface for holding liquids with an unknown material of construction.","5600 - 5649","Tanks"
"Construction","5604","2232","Tanks, On Ground Steel liquid Tanks","Storage tanks made of steel for holding liquids and located on the ground surface.","5600 - 5649","Tanks"
"Construction","5605","2233","Tanks, On Ground Concrete liquid Tanks","Storage tanks made of concrete for holding liquids and located on the ground surface.","5600 - 5649","Tanks"
"Construction","5606","224; 2241","Tanks, On Ground Solid Tanks","Storage tanks located on the ground surface for holding solid material with an unknown material of construction.","5600 - 5649","Tanks"
"Construction","5607","2242","Tanks, On Ground Steel solid Tanks","Storage tanks made of steel for holding solid material and located on the ground surface.","5600 - 5649","Tanks"
"Construction","5608","2243","Tanks, On Ground Concrete solid Tanks","Storage tanks made of concrete for holding solid material and located on the ground surface.","5600 - 5649","Tanks"
"Construction","5609","225; 2251","Tanks, Elevated Liquid Tanks","Storage tanks located above the ground surface for holding liquids with an unknown material of construction.","5600 - 5649","Tanks"
"Construction","5610","2252","Tanks, Elevated Steel liquid Tanks","Storage tanks made of steel for holding liquids and located above the ground surface.","5600 - 5649","Tanks"
"Construction","5611","2253","Tanks, Elevated Concrete liquid Tanks","Storage tanks made of concrete for holding liquids and located above the ground surface.","5600 - 5649","Tanks"
"Construction","5612","226; 2261","Tanks, Elevated Solid Tanks","Storage tanks located above the ground surface for holding solid material with an unknown material of construction.","5600 - 5649","Tanks"
"Construction","5613","2262","Tanks, Elevated Steel solid Tanks","Storage tanks made of steel for holding solid material and located above the ground surface.","5600 - 5649","Tanks"
"Construction","5614","2263","Tanks, Elevated Concrete solid Tanks","Storage tanks made of concrete for holding solid material and located above the ground surface.","5600 - 5649","Tanks"
"Construction","5650","2270","Pipelines, Unknown Pipeline","Pipelines with an unknown location and material, or other unknown pipelines that cannot be mapped to any of the other pipeline construction class codes.","5650 - 5699","Pipelines"
"Construction","5651","227; 2271","Pipelines, General Underground Pipelines","Pipelines located under the surface of the ground with an unknown material of construction.","5650 - 5699","Pipelines"
"Construction","5652","2272","Pipelines, Underground Cast Iron Pipelines","Pipelines located under the surface of the ground and made of cast iron material.","5650 - 5699","Pipelines"
"Construction","5653","2273","Pipelines, Underground Asbestos Cement Pipelines","Pipelines located under the surface of the ground and made of asbestos-cement material.","5650 - 5699","Pipelines"
"Construction","5654","2274","Pipelines, Underground Concrete Pipelines","Pipelines located under the surface of the ground and made of concrete material.","5650 - 5699","Pipelines"
"Construction","5655","2275","Pipelines, Underground PVC Pipelines","Pipelines located under the surface of the ground and made of PVC material.","5650 - 5699","Pipelines"
"Construction","5656","2276","Pipelines, Underground Ductile Iron Pipelines","Pipelines located under the surface of the ground and made of ductile iron material.","5650 - 5699","Pipelines"
"Construction","5657","228; 2281","Pipelines, General At Grade Pipelines","Pipelines located at the surface of the ground with an unknown material of construction.","5650 - 5699","Pipelines"
"Construction","5658","2282","Pipelines, At Grade Cast Iron Pipelines","Pipelines located at the surface of the ground and made of cast iron material.","5650 - 5699","Pipelines"
"Construction","5659","2283","Pipelines, At Grade Asbestos Cement Pipelines","Pipelines located at the surface of the ground and made of asbestos-cement material.","5650 - 5699","Pipelines"
"Construction","5660","2284","Pipelines, At Grade Concrete Pipelines","Pipelines located at the surface of the ground and made of concrete material.","5650 - 5699","Pipelines"
"Construction","5661","2285","Pipelines, At Grade PVC Pipelines","Pipelines located at the surface of the ground and made of PVC material.","5650 - 5699","Pipelines"
"Construction","5662","2286","Pipelines, At Grade Ductile Iron Pipelines","Pipelines located at the surface of the ground and made of ductile iron material.","5650 - 5699","Pipelines"
"Construction","5701","231","Chimneys, Masonry chimneys","Masonry chimneys over 30 feet high.","5700 - 5749","Chimneys"
"Construction","5702","232","Chimneys, Concrete chimneys","Reinforced concrete chimneys over 30 feet high.","5700 - 5749","Chimneys"
"Construction","5703","233","Chimneys, Steel chimneys","Steel chimneys over 30 feet high.","5700 - 5749","Chimneys"
"Construction","5751","234","Towers, Electrical transmission conventional","Steel towers under 100 feet high designed to hold up electrical transmission lines.","5750 - 5799","Towers"
"Construction","5752","235","Towers, Electrical transmission major","Steel towers over 100 feet high designed to hold up electrical transmission lines.","5750 - 5799","Towers"
"Construction","5753","236","Towers, Broadcast towers","Steel towers designed to carry radio, TV, or cell phone transmission equipment.","5750 - 5799","Towers"
"Construction","5754","237","Towers, Observation towers","Elevated towers designed for people to look out of, such as airport control or fire observation towers.","5750 - 5799","Towers"
"Construction","5755","238","Towers, Offshore towers","Offshore towers are towers with a platform that are anchored to the ground under the ocean.","5750 - 5799","Towers"
"Construction","5756","N/A","Distribution Circuits","Distribution circuits designed to carry radio, TV, or cell phone transmission equipment.","5750 - 5799","Towers"
"Construction","5801","241","Equipment, Residential equipment","Residential furnishings including furniture and appliances.","5800 - 5849","Equipment"
"Construction","5802","242","Equipment, Office equipment","Office furniture, file cabinets, PCs, etc.","5800 - 5849","Equipment"
"Construction","5803","243","Equipment, Electrical equipment","Non-high tech electrical equipment other than electrical equipment included as part of the function of the building.","5800 - 5849","Equipment"
"Construction","5804","244","Equipment, Mechanical equipment","All equipment not otherwise classified in a building.","5800 - 5849","Equipment"
"Construction","5805","245","Equipment, High-technology equipment","Sensitive equipment easily damaged by shaking.","5800 - 5849","Equipment"
"Construction","5806","246","Equipment, Trains, trucks, airplanes etc.","Any type of train, truck, or airplane.","5800 - 5849","Equipment"
"Construction","5807","247","Equipment, Thermal Power Plant","Thermal power plants are energy centers that convert heat energy into electrical energy. In Japan, heat is usually generated by fuel, coal, or nuclear. Plants typically include components, such as boilers (or reactors), gas turbines, pumps, generators, cooling towers, power transmission lines, substations, transformers, bushings, circuit breakers/switches, waste management facilities, and building structures supporting operation of the plant or for administrative purposes.","5800 - 5849","Equipment"
"Construction","5850","261","Automobiles, Unknown HAZUS","Typically a four-wheeled automotive vehicle designed for passenger transportation. Use this code for unknown automobiles in general or for HAZUS unknown classification.","5850 - 5899","Automobiles"
"Construction","5851","N/A","Automobiles, Personal","Typically a four-wheeled personal automotive vehicle designed for passenger transportation.","5850 - 5899","Automobiles"
"Construction","5852","N/A","Automobiles, Dealers","Typically a four-wheeled dealers (part of the fleet) automotive vehicle designed for passenger transportation.","5850 - 5899","Automobiles"
"Construction","5853","262","Automobiles, 4 Wheeler","Typically a four-wheeled automotive vehicle designed for passenger transportation.","5850 - 5899","Automobiles"
"Construction","5854","263","Automobiles, 2 Wheeler","Typically a two-wheeled automotive vehicle designed for passenger transportation; may include a side car with a third wheel.","5850 - 5899","Automobiles"
"Construction","5855","N/A","Automobiles, G","Off-road personal vehicle","5850 - 5899","Automobiles"
"Construction","5856","N/A","Motorcycles, Small","A two-wheeled or three-wheeled vehicle with a maximum design speed of not more than 50 km/h","5850 - 5899","Automobiles"
"Construction","5857","N/A","Motorcycles, Large","Mopeds, Motorcycles, Motor Tricycles and Quadricycles with a maximum design speed of more than 50 km/h","5850 - 5899","Automobiles"
