Category,Code,CodeDescription,Notes
PayoutBasis,0,UNK,Unknown / default
PayoutBasis,1,ACV,Actual Cost Values
PayoutBasis,2,RCV,Replacement Cost Value
Pounding,0,Unknown / default,N/A
Pounding,1,0-0.25 m,N/A
Pounding,2,0.25-0.5 m,N/A
Pounding,3,0.5-1.0 m,N/A
Pounding,4,1.0-2.0 m,N/A
Pounding,5,>2.0 m,N/A
Protection,0,Unknown,N/A
Protection,1,Vulnerable,N/A
Protection,2,Average,N/A
Protection,3,Resilient,N/A
Redundancy,0,Unknown / default,N/A
Redundancy,1,No,N/A
Redundancy,2,Yes,N/A
ReinsType,AXL,Aggregate Excess of Loss,N/A
ReinsType,CXL,Catastrophe Excess of Loss,N/A
ReinsType,FAC,Facultative reinsurance,N/A
ReinsType,PR,Per risk treaty,N/A
ReinsType,QS,Quota Share,N/A
ReinsType,SS,Surplus Share,N/A
Retrofit,0,Unknown / default,N/A
Retrofit,1,Bracing of cripple walls,N/A
Retrofit,2,Bracing of parapets,N/A
Retrofit,3,Bracing of soft-story,N/A
Retrofit,4,Foundation anchorage (bolting),N/A
Retrofit,5,Glass/window strengthening,N/A
Retrofit,6,Tilt Up,N/A
Retrofit,7,General,N/A
RiskLevel,   ,No risk terms,N/A
RiskLevel,ACC,Account,N/A
RiskLevel,LGR,Location Group,N/A
RiskLevel,LOC,Location,N/A
RiskLevel,POL,Policy,N/A
RoofAnchorage,0,Unknown / default,N/A
RoofAnchorage,1,Hurricane Ties,N/A
RoofAnchorage,2,Nails / Screws,N/A
RoofAnchorage,3,Anchor bolts,N/A
RoofAnchorage,4,Gravity / friction,N/A
RoofAnchorage,5,Adhesive epoxy,N/A
RoofAnchorage,6,Structurally Connected,N/A
RoofAnchorage,7,Clips,N/A
RoofAnchorage,8,Double wraps,N/A
RoofAnchorage,9,Single wraps,N/A
RoofAttachedStructures,0,Unknown / default,N/A
RoofAttachedStructures,1,Chimneys,N/A
RoofAttachedStructures,10,Overhang/Rake (> 36 in),N/A
RoofAttachedStructures,11,Waterproof membrane/fabric,N/A
RoofAttachedStructures,12,Secondary water resistance - Yes,N/A
RoofAttachedStructures,13,Secondary water resistance - No,N/A
RoofAttachedStructures,14,Solar Panels with ballast,N/A
RoofAttachedStructures,15,Solar panels mechanically attached,N/A
RoofAttachedStructures,2,A/C Units,N/A
RoofAttachedStructures,3,Skylights,N/A
RoofAttachedStructures,4,Parapet Walls,N/A
RoofAttachedStructures,5,Overhang/Rake (8-36 in),N/A
RoofAttachedStructures,6,Dormers,N/A
RoofAttachedStructures,7,Other,N/A
RoofAttachedStructures,8,No Attached Structures,N/A
RoofAttachedStructures,9,Overhang/Rake (< 8 in),N/A
RoofCover,0,Unknown / default,N/A
RoofCover,1,Asphalt shingles,N/A
RoofCover,10,Single ply membrane ballasted,N/A
RoofCover,11,Hurricane Wind-Rated Roof Coverings,N/A
RoofCover,12,"Composition (Fiberglass, Asphalt, etc)",N/A
RoofCover,13,Asbestos shakes,N/A
RoofCover,14,Copper,N/A
RoofCover,15,Concrete (not tile),N/A
RoofCover,16,Reinforced concrete,N/A
RoofCover,18,Plastic,N/A
RoofCover,19,Fiberglass,N/A
RoofCover,2,Wooden shingles,N/A
RoofCover,20,Steel,N/A
RoofCover,21,Plywood,N/A
RoofCover,22,Rubber,N/A
RoofCover,23,Tin,N/A
RoofCover,24,Aluminium,N/A
RoofCover,25,Foam,N/A
RoofCover,3,Clay/concrete tiles,N/A
RoofCover,4,Light metal panels,N/A
RoofCover,5,Slate,N/A
RoofCover,6,Built-up roof with gravel,N/A
RoofCover,7,Single ply membrane,N/A
RoofCover,8,Standing seam metal roofs,N/A
RoofCover,9,Built-up roof without gravel,N/A
RoofCoverAttachment,0,Unknown / default,N/A
RoofCoverAttachment,1,Screws,N/A
RoofCoverAttachment,2,Nails/staples,N/A
RoofCoverAttachment,3,Adhesive/epoxy,N/A
RoofCoverAttachment,4,Mortar,N/A
RoofDeck,0,Unknown / default,N/A
RoofDeck,1,Plywood,N/A
RoofDeck,2,Wood planks,N/A
RoofDeck,3,Particle board / OSB,N/A
RoofDeck,4,Metal deck with insulation board,N/A
RoofDeck,5,Metal deck with concrete,N/A
RoofDeck,6,Pre-cast concrete slabs,N/A
RoofDeck,7,Reinforced concrete slabs,N/A
RoofDeck,8,Light metal,N/A
RoofDeckAttachment,0,Unknown / default,N/A
RoofDeckAttachment,1,Screws / bolts,N/A
RoofDeckAttachment,2,Nails,N/A
RoofDeckAttachment,3,Adhesive / epoxy,N/A
RoofDeckAttachment,4,Structurally connected,N/A
RoofDeckAttachment,5,"6d nails @ 6 spacing, 12 on center",N/A
RoofDeckAttachment,6,"8d nails @ 6 spacing, 12 on center",N/A
RoofDeckAttachment,7,"8d nails @ 6 spacing, 6 on center",N/A
RoofEquipment,0,Unknown,N/A
RoofEquipment,1,No equipment,N/A
RoofEquipment,2,Vulnerable,N/A
RoofEquipment,3,Average,N/A
RoofEquipment,4,Resilient,N/A
RoofFrame,0,Unknown,N/A
RoofFrame,1,Reinforcet Concrete,N/A
RoofFrame,2,Steel,N/A
RoofFrame,3,Light Metal,N/A
RoofFrame,4,Wood,N/A
RoofGeometry,0,Unknown / default,N/A
RoofGeometry,1,Flat,N/A
RoofGeometry,10,Gambrel,N/A
RoofGeometry,11,Butterfly,N/A
RoofGeometry,12,Saltbox,N/A
RoofGeometry,2,Gable end without bracing,N/A
RoofGeometry,3,Hip,N/A
RoofGeometry,4,Complex,N/A
RoofGeometry,5,Stepped,N/A
RoofGeometry,6,Shed,N/A
RoofGeometry,7,Mansard,N/A
RoofGeometry,8,Gable end with bracing,N/A
RoofGeometry,9,Pyramid,N/A
RoofMaintenance,0,Unknown,N/A
RoofMaintenance,1,Vulnerable,N/A
RoofMaintenance,2,Average,N/A
RoofMaintenance,3,Resilient,N/A
RoofPitch,0,Unknown / default,N/A
RoofPitch,1,Low (<10°),N/A
RoofPitch,2,Medium (10° to 30°),N/A
RoofPitch,3,High (>30°),N/A
SalvageProtection,0,Unknown,N/A
SalvageProtection,1,Vulnerable,N/A
SalvageProtection,2,Average,N/A
SalvageProtection,3,Resilient,N/A
ServiceEquipmentProtection,0,Unknown / default,N/A
ServiceEquipmentProtection,1,Protected for flood (i.e. protected for flood by being elevated and/or flood proofing),N/A
ServiceEquipmentProtection,2,Unprotected for flood (i.e. not elevated and not flood protected),N/A
ShapeIrregularity,0,Unknown / default,
ShapeIrregularity,2,Vertical Offset,
ShapeIrregularity,3,Non-uniform Floor Area,"E.g., a sudden change in floor area along the height"
ShapeIrregularity,4,Discontinuous Shear Wall,"I.e., the main load-resisting components are not provided in a regular, symmetric pattern"
ShapeIrregularity,5,Heavy floor,"E.g., placement of heavy equipment on higher floors"
ShortColumn,0,Unknown / default,N/A
ShortColumn,1,No,N/A
ShortColumn,2,Yes,N/A
SmallDebris,0,Unknown / default,N/A
SmallDebris,1,No,N/A
SmallDebris,2,Yes,N/A
SoftStory,0,Unknown / default,N/A
SoftStory,1,No,N/A
SoftStory,2,Yes,N/A
SpecialEQConstruction,0,Unknown / default,N/A
SpecialEQConstruction,1,Base isolation,N/A
SpecialEQConstruction,2,Visco-elastic dampers,N/A
SpecialEQConstruction,3,Other energy dissipaters,N/A
SprinklerType,0,Unknown / default,N/A
SprinklerType,1,No sprinkler,N/A
SprinklerType,2,CO2 / Halon sprinkler,N/A
SprinklerType,3,Dry sprinkler,N/A
SprinklerType,4,Standpipe sprinkler,N/A
SprinklerType,5,Wet sprinkler,N/A
Statuses,B,Bound,N/A
Statuses,C,Cancelled,N/A
Statuses,Q,Quoted,N/A
Statuses,R,Rejected,N/A
Statuses,S,Submitted,N/A
StepTriggerType,1,Building,N/A
StepTriggerType,2,Contents,N/A
StepTriggerType,3,Building and Contents,N/A
StepTriggerType,4,"Building, then Contents",N/A
StepTriggerType,5,"Building, Contents separately",N/A
TallOneStory,0,Unknown / default,N/A
TallOneStory,1,<= 20 ft,N/A
TallOneStory,2,> 20ft and < 40ft,N/A
TallOneStory,3,>= 40ft,N/A
Tank,0,Unknown / default,N/A
Tank,1,No,N/A
Tank,2,Yes,N/A
TerrainRoughness,0,Unknown / default,
TerrainRoughness,1,Large city centers,"Large city centers with at least 50% of the buildings having a height in excess of 70 feet (21.3 m). You should limit the use of this exposure category to areas for which terrain representative of this category prevails in the upward direction for a distance of at least 0.5 mi. (0.8 km) or 10 times the height of the building or other structure, whichever is greater. Possible channeling effect on building will be taken into account."
TerrainRoughness,2,"Urban and suburban areas, wooded areas","Urban and suburban areas, wooded areas, or other terrain with numerous closely spaced obstructions having the size of single-family dwellings or larger. You should limit the use of this exposure category to areas for which terrain representative of this category prevails in the upwind direction for a distance of at least 1,500 feet (460 m) or 10 times the height of the building or other structure, whichever is greater."
TerrainRoughness,3,Open terrain with scattered obstruct,"Open terrain with scattered obstructions having heights generally less than 30 feet (9.1 m). This category includes flat, open country and grasslands."
TerrainRoughness,4,"Flat, unobstructed areas","Flat, unobstructed areas exposed to winds flowing over open water for a distance of at least 1 mile (1.61 km). This exposure category applies only to buildings and other structures exposed to the winds coming off the water. This exposure category extends inland from the shoreline a distance of 1,500 feet (460 m) or 10 times the height of the building or structure, whichever is greater."
Torsion,0,Unknown / default,N/A
Torsion,1,Symmetric,N/A
Torsion,2,Asymmetric,N/A
Torsion,3,Corner building,N/A
TreeExposure,0,Unknown / default,N/A
TreeExposure,1,No,N/A
TreeExposure,2,Yes,N/A
Units,1,Feet (Distance),N/A
Units,11,Square feet (Area),N/A
Units,12,Square meters (Area),N/A
Units,13,Acre (Area),N/A
Units,14,Hectare (Area),N/A
Units,2,Meters (Distance),N/A
Units,3,Kilometers (Distance),N/A
Units,4,Miles (Distance),N/A
ValuablesStorage,0,Unknown / default,N/A
ValuablesStorage,1,Vault,N/A
ValuablesStorage,2,Safe,N/A
ValuablesStorage,3,Strongbox,N/A
ValuablesStorage,4,Unprotected exhibition,N/A
ValuablesStorage,5,Protected exhibition (protection around specific art pieces),N/A
ValuablesStorage,6,Archive,N/A
ValuablesStorage,7,Special facility,N/A
WallAttachedStructure,0,Unkown / default,N/A
WallAttachedStructure,1,Carports / Canopies / Porches,N/A
WallAttachedStructure,2,Single Door Garages,N/A
WallAttachedStructure,3,Double Door Garages,N/A
WallAttachedStructure,4,Reinforced Single Door Garages,N/A
WallAttachedStructure,5,Reinforced Double Door Garages,N/A
WallAttachedStructure,6,Screened Porches/Glass Patio Doors,N/A
WallAttachedStructure,7,Balcony,N/A
WallAttachedStructure,8,No attached wall structures,N/A
WallAttachedStructure,9,Attached screen enclosure / Lanai,N/A
WindowProtection,0,Unknown / default,N/A
WindowProtection,1,No protection,N/A
WindowProtection,2,Non-engineered shutters,N/A
WindowProtection,3,Engineered shutters,N/A
