"SrcScheme","SrcField","SrcValue","SrcValueName","TgtSchemeVersion","TgtScheme","TgtField","TgtValue","TgtValueName"
"ATC","BldgClass","58C","Fossil Fuel Plants","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","58D","Cogeneration Plants","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","58E","Hydroelectric Plants","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","59","Natural Gas Facilities","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","59A","Compressor Stations","2.3.1","OED","ConstructionCode","5953","Miscellaneous, Compressor stations"
"ATC","BldgClass","59B","Pipelines","2.3.1","OED","ConstructionCode","5953",""
"ATC","BldgClass","59C","Liquefied Natural Gas","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","6","Rc Shear Wall Without Frame","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","60","Port/Harbor Facilities","2.3.1","OED","ConstructionCode","5958","Miscellaneous, Waterfront structures"
"ATC","BldgClass","60A","Waterfront Facilities","2.3.1","OED","ConstructionCode","5958","Miscellaneous, Waterfront structures"
"ATC","BldgClass","60B","Crane/Cargo Handling","2.3.1","OED","ConstructionCode","5954","Miscellaneous, Cranes"
"ATC","BldgClass","60C","Fuel Facilities","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","61","Heavy Industrial Facilities","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","61A","Pulp & Paper","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","61B","Steel Mill","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","61C","Mining","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","61D","Cement Mill","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","62","Light Industrial Facilities","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","62A","High Technology","2.3.1","OED","ConstructionCode","5805","Equipment, High-technology equipment"
"ATC","BldgClass","62B","Telecommunication","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","7","Rm Shear Wall","2.3.1","OED","ConstructionCode","5107","Masonry, Reinforced masonry shear wall w/o mrf"
"ATC","BldgClass","71","Wood Frame Single Wall (Hawaii Only)","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","72A","Wood Frame Oshpd Spc1","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","72B","Wood Frame Oshpd Spc2","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","72C","Wood Frame Oshpd Spc3","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","72D","Wood Frame Oshpd Spc4","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","72E","Wood Frame Oshpd Spc5","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","73A","Unreinforced Masonry Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5103","Masonry, Unreinforced masonry bearing wall"
"ATC","BldgClass","73B","Unreinforced Masonry Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5103","Masonry, Unreinforced masonry bearing wall"
"ATC","BldgClass","74A","Structural Masonry Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5105","Masonry, Reinforced masonry"
"ATC","BldgClass","74B","Structural Masonry Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5105","Masonry, Reinforced masonry"
"ATC","BldgClass","74C","Structural Masonry Pre-1973 Oshpd Spc3","2.3.1","OED","ConstructionCode","5105","Masonry, Reinforced masonry"
"ATC","BldgClass","74D","Structural Masonry 1974-1994 Oshpd Spc2","2.3.1","OED","ConstructionCode","5105","Masonry, Reinforced masonry"
"ATC","BldgClass","74E","Structural Masonry 1974-1994 Oshpd Spc3","2.3.1","OED","ConstructionCode","5105","Masonry, Reinforced masonry"
"ATC","BldgClass","74F","Structural Masonry Post-1995 Oshpd Spc3","2.3.1","OED","ConstructionCode","5105","Masonry, Reinforced masonry"
"ATC","BldgClass","75A","Reinforced Concrete Moment Resisting Frame Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75B","Reinforced Concrete Moment Resisting Frame Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75C","Reinforced Concrete Moment Resisting Frame 1974-1994 Oshpd Spc2","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75D","Reinforced Concrete Moment Resisting Frame 1974-1994 Oshpd Spc3","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75E","Reinforced Concrete Moment Resisting Frame 1974-1994 Oshpd Spc4","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75F","Reinforced Concrete Moment Resisting Frame Post-1995 Oshpd Spc3","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75G","Reinforced Concrete Moment Resisting Frame Post-1995 Oshpd Spc4","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","75H","Reinforced Concrete Moment Resisting Frame Post-1995 Oshpd Spc5","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","76A","Rc Mrf With Shear Walls Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76B","Rc Mrf With Shear Walls Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76C","Rc Mrf With Shear Walls 1974-1994 Oshpd Spc2","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76D","Rc Mrf With Shear Walls 1974-1994 Oshpd Spc3","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76E","Rc Mrf With Shear Walls 1974-1994 Oshpd Spc4","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76F","Rc Mrf With Shear Walls Post-1995 Oshpd Spc3","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76G","Rc Mrf With Shear Walls Post-1995 Oshpd Spc4","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","76H","Rc Mrf With Shear Walls Post-1995 Oshpd Spc5","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","77A","Reinforced Concrete Shear Wall Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77B","Reinforced Concrete Shear Wall Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77C","Reinforced Concrete Shear Wall 1974-1994 Oshpd Spc2","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77D","Reinforced Concrete Shear Wall 1974-1994 Oshpd Spc3","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77E","Reinforced Concrete Shear Wall 1974-1994 Oshpd Spc4","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77F","Reinforced Concrete Shear Wall Post-1995 Oshpd Spc3","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77G","Reinforced Concrete Shear Wall Post-1995 Oshpd Spc4","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","77H","Reinforced Concrete Shear Wall Post-1995 Oshpd Spc5","2.3.1","OED","ConstructionCode","5152","Concrete, Reinforced concrete shear wall w/o mrf"
"ATC","BldgClass","78A","Steel Moment Resisting Frame Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78B","Steel Moment Resisting Frame Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78C","Steel Moment Resisting Frame 1974-1994 Oshpd Spc2","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78D","Steel Moment Resisting Frame 1974-1994 Oshpd Spc3","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78E","Steel Moment Resisting Frame 1974-1994 Oshpd Spc4","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78F","Steel Moment Resisting Frame Post-1995 Oshpd Spc3","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78G","Steel Moment Resisting Frame Post-1995 Oshpd Spc4","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","78H","Steel Moment Resisting Frame Post-1995 Oshpd Spc5","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","79A","Braced Steel Mrf Pre-1973 Oshpd Spc1","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79B","Braced Steel Mrf Pre-1973 Oshpd Spc2","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79C","Braced Steel Mrf 1974-1994 Oshpd Spc2","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79D","Braced Steel Mrf 1974-1994 Oshpd Spc3","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79E","Braced Steel Mrf Oshpd 1974-1994 Spc4","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79F","Braced Steel Mrf Post-1995 Oshpd Spc3","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79G","Braced Steel Mrf Post-1995 Oshpd Spc4","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","79H","Braced Steel Mrf Post-1995 Oshpd Spc5","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
"ATC","BldgClass","8","Rm Shear Wall With Frame","2.3.1","OED","ConstructionCode","5106","Masonry, Reinforced masonry shear wall with mrf"
"ATC","BldgClass","80","Reinforced Concrete Frame With Wood Frame In The Upper Floors","2.3.1","OED","ConstructionCode","5150","Concrete, Reinforced concrete"
"ATC","BldgClass","81","Steel Frame With Wood Frame In The Upper Floors","2.3.1","OED","ConstructionCode","5200","Steel, Steel"
"ATC","BldgClass","82","High Speed Railway","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","9","Braced Steel Frame","2.3.1","OED","ConstructionCode","5202","Steel, Braced steel frame"
