Table,Column Name,Data Type,Max Length,Precision,Scale,Nullable?,Default value,Comment
ConditionFinancials,MinDed,float,8,53,0,NO,((0)),
ConditionFinancials,MaxDed,float,8,53,0,NO,((0)),
ConditionFinancials,LimitCode,tinyint,1,3,0,NO,((0)),
ConditionFinancials,LimitCov,tinyint,1,3,0,NO,((0)),
ConditionFinancials,LimitType,tinyint,1,3,0,NO,((0)),
ConditionFinancials,Limit,float,8,53,0,NO,((0)),
Conditions,CondID,bigint,8,19,0,NO,n/a,
Conditions,AccID,bigint,8,19,0,NO,n/a,
Conditions,CondNumber,nvarchar,20,0,0,NO,n/a,
Conditions,CondName,varchar,40,0,0,NO,n/a,
Conditions,Priority,tinyint,1,3,0,NO,n/a,
Conditions,Currency,varchar,3,0,0,NO,n/a,
FlexiAcc,FlexiAccID,bigint,8,19,0,NO,n/a,
FlexiAcc,AccID,bigint,8,19,0,NO,n/a,
FlexiAcc,ModifierName,varchar,40,0,0,NO,n/a,
FlexiAcc,ModifierValue,varchar,40,0,0,NO,n/a,
FlexiLoc,FlexiLocID,bigint,8,19,0,NO,n/a,
FlexiLoc,LocID,bigint,8,19,0,NO,n/a,
FlexiLoc,ModifierName,varchar,40,0,0,NO,n/a,
FlexiLoc,ModifierValue,varchar,40,0,0,NO,n/a,
FlexiPol,FlexiPolID,bigint,8,19,0,NO,n/a,
FlexiPol,PolID,bigint,8,19,0,NO,n/a,
FlexiPol,ModifierName,varchar,40,0,0,NO,n/a,
FlexiPol,ModifierValue,varchar,40,0,0,NO,n/a,
LOB,LOBID,bigint,8,19,0,NO,n/a,
LOB,LOB,varchar,20,0,0,NO,n/a,
LocationDetails,LocID,bigint,8,19,0,NO,n/a,
LocationDetails,YearUpgraded,smallint,2,5,0,NO,((0)),
LocationDetails,SurgeLeakage,float,8,53,0,NO,((-999)),
LocationDetails,SprinklerType,tinyint,1,3,0,NO,((0)),
LocationDetails,PercentSprinklered,float,8,53,0,NO,((-999)),
LocationDetails,RoofCover,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofYearBuilt,smallint,2,5,0,NO,((0)),
LocationDetails,RoofGeometry,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofEquipment,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofFrame,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofMaintenance,tinyint,1,3,0,NO,((0)),
LocationDetails,BuildingCondition,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofAttachedStructures,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofDeck,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofPitch,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofAnchorage,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofDeckAttachment,tinyint,1,3,0,NO,((0)),
LocationDetails,RoofCoverAttachment,tinyint,1,3,0,NO,((0)),
LocationDetails,GlassType,tinyint,1,3,0,NO,((0)),
LocationDetails,LatticeType,tinyint,1,3,0,NO,((0)),
LocationDetails,FloodZone,varchar,20,0,0,YES,n/a,
LocationDetails,SoftStory,tinyint,1,3,0,NO,((0)),
LocationDetails,Basement,tinyint,1,3,0,NO,((0)),
LocationDetails,BasementLevelCount,tinyint,1,3,0,NO,((0)),
LocationDetails,WindowProtection,tinyint,1,3,0,NO,((0)),
LocationDetails,FoundationType,tinyint,1,3,0,NO,((0)),
LocationDetails,WallAttachedStructure,tinyint,1,3,0,NO,((0)),
LocationDetails,AppurtenantStructure,tinyint,1,3,0,NO,((0)),
LocationDetails,ConstructionQuality,tinyint,1,3,0,NO,((0)),
LocationDetails,GroundEquipment,tinyint,1,3,0,NO,((0)),
LocationDetails,EquipmentBracing,tinyint,1,3,0,NO,((0)),
LocationDetails,Flashing,tinyint,1,3,0,NO,((0)),
LocationDetails,BuildingShape,tinyint,1,3,0,NO,((0)),
LocationDetails,ShapeIrregularity,tinyint,1,3,0,NO,((0)),
LocationDetails,Pounding,tinyint,1,3,0,NO,((0)),
LocationDetails,Ornamentation,tinyint,1,3,0,NO,((0)),
LocationDetails,SpecialEQConstruction,tinyint,1,3,0,NO,((0)),
LocationDetails,Retrofit,tinyint,1,3,0,NO,((0)),
LocationDetails,CrippleWall,tinyint,1,3,0,NO,((0)),
LocationDetails,FoundationConnection,tinyint,1,3,0,NO,((0)),
LocationDetails,ShortColumn,tinyint,1,3,0,NO,((0)),
LocationDetails,Fatigue,tinyint,1,3,0,NO,((0)),
LocationDetails,Cladding,tinyint,1,3,0,NO,((0)),
LocationDetails,BIPreparedness,tinyint,1,3,0,NO,((0)),
LocationDetails,BIRedundancy,tinyint,1,3,0,NO,((0)),
LocationDetails,FirstFloorHeight,float,8,53,0,NO,((-999)),
LocationDetails,FirstFloorHeightUnit,tinyint,1,3,0,NO,((1)),
LocationDetails,Datum,varchar,20,0,0,YES,n/a,
LocationDetails,GroundElevation,float,8,53,0,NO,((-999)),
LocationDetails,GroundElevationUnit,tinyint,1,3,0,NO,((1)),
LocationDetails,Tank,tinyint,1,3,0,YES,((0)),
LocationDetails,Redundancy,tinyint,1,3,0,NO,((0)),
LocationDetails,InternalPartition,tinyint,1,3,0,NO,((0)),
LocationDetails,ExternalDoors,tinyint,1,3,0,NO,((0)),
LocationDetails,Torsion,tinyint,1,3,0,NO,((0)),
LocationDetails,MechanicalEquipmentSide,tinyint,1,3,0,NO,((0)),
LocationDetails,ContentsWindVuln,tinyint,1,3,0,NO,((0)),
LocationDetails,ContentsFloodVuln,tinyint,1,3,0,NO,((0)),
LocationDetails,ContentsQuakeVuln,tinyint,1,3,0,NO,((0)),
LocationDetails,SmallDebris,tinyint,1,3,0,NO,((0)),
LocationDetails,FloorsOccupied,varchar,255,0,0,YES,n/a,
LocationDetails,FloodDebrisResilience,tinyint,1,3,0,NO,((0)),
LocationDetails,BaseFloodElevation,float,8,53,0,NO,((-999)),
LocationDetails,BaseFloodElevationUnit,tinyint,1,3,0,NO,((1)),
LocationDetails,BuildingHeight,float,8,53,0,NO,((-999)),
LocationDetails,BuildingHeightUnit,tinyint,1,3,0,NO,((1)),
LocationDetails,BuildingValuation,varchar,20,0,0,YES,n/a,
LocationDetails,TreeExposure,tinyint,1,3,0,NO,((0)),
LocationDetails,Chimney,tinyint,1,3,0,NO,((0)),
LocationDetails,BuildingType,tinyint,1,3,0,NO,((0)),
LocationDetails,Packaging,tinyint,1,3,0,NO,((0)),
LocationDetails,Protection,tinyint,1,3,0,NO,((0)),
LocationDetails,SalvageProtection,tinyint,1,3,0,NO,((0)),
LocationDetails,ValuablesStorage,tinyint,1,3,0,NO,((0)),
LocationDetails,DaysHeld,smallint,2,5,0,NO,((365)),
LocationDetails,BrickVeneer,tinyint,1,3,0,NO,((0)),
LocationDetails,FEMACompliance,tinyint,1,3,0,NO,((0)),
LocationDetails,CustomFloodSOP,tinyint,1,3,0,NO,((0)),
LocationDetails,CustomFloodZone,varchar,20,0,0,YES,n/a,
LocationDetails,MultiStoryHall,tinyint,1,3,0,NO,((0)),
LocationDetails,BuildingExteriorOpening,tinyint,1,3,0,NO,((0)),
LocationDetails,ServiceEquipmentProtection,tinyint,1,3,0,NO,((0)),
LocationDetails,TallOneStory,tinyint,1,3,0,NO,((0)),
LocationDetails,TerrainRoughness,tinyint,1,3,0,NO,((0)),
LocationDetails,FloodDefenseHeight,float,8,53,0,NO,((-999)),
LocationDetails,FloodDefenseHeightUnit,tinyint,1,3,0,NO,((1)),
LocationFinancials,LocFinID,bigint,8,19,0,NO,n/a,
LocationFinancials,LocID,bigint,8,19,0,NO,n/a,
LocationFinancials,PerilCode,int,4,10,0,NO,n/a,
LocationFinancials,DedCode,tinyint,1,3,0,NO,((0)),
LocationFinancials,DedCov,tinyint,1,3,0,NO,((0)),
LocationFinancials,DedType,tinyint,1,3,0,NO,((0)),
LocationFinancials,Ded,float,8,53,0,NO,((0)),
LocationFinancials,MinDed,float,8,53,0,NO,((0)),
LocationFinancials,MaxDed,float,8,53,0,NO,((0)),
LocationFinancials,BIWaitingPeriod,smallint,2,5,0,NO,((0)),
LocationFinancials,LimitCode,tinyint,1,3,0,NO,((0)),
LocationFinancials,LimitCov,tinyint,1,3,0,NO,((0)),
LocationFinancials,LimitType,tinyint,1,3,0,NO,((0)),
LocationFinancials,Limit,float,8,53,0,NO,((0)),
Locations,LocID,bigint,8,19,0,NO,n/a,
Locations,AccID,bigint,8,19,0,NO,n/a,
Locations,LocNumber,nvarchar,20,0,0,NO,n/a,
Locations,LocName,nvarchar,20,0,0,YES,n/a,
Locations,LocGroup,nvarchar,20,0,0,YES,n/a,
Locations,CorrelationGroup,int,4,10,0,YES,n/a,
Locations,IsPrimary,bit,1,0,0,NO,((1)),
Locations,IsTenant,bit,1,0,0,NO,((0)),
Locations,BuildingID,varchar,20,0,0,YES,n/a,
Locations,LocInceptionDate,smalldatetime,4,0,0,YES,n/a,
Locations,LocExpiryDate,smalldatetime,4,0,0,YES,n/a,
Locations,PercentComplete,decimal,7,7,6,NO,((1)),
Locations,CompletionDate,date,3,0,0,YES,n/a,
Locations,CountryCode,char,2,0,0,NO,n/a,
Locations,Latitude,decimal,12,12,8,NO,((0)),
Locations,Longitude,decimal,12,12,8,NO,((0)),
Locations,StreetAddress,nvarchar,100,0,0,YES,n/a,
Locations,PostalCode,nvarchar,20,0,0,YES,n/a,
Locations,City,nvarchar,50,0,0,YES,n/a,
Locations,AreaCode,nvarchar,20,0,0,YES,n/a,
Locations,AreaName,nvarchar,50,0,0,YES,n/a,
Locations,GeogScheme1,varchar,5,0,0,YES,n/a,
Locations,GeogName1,nvarchar,50,0,0,YES,n/a,
Locations,GeogScheme2,varchar,5,0,0,YES,n/a,
Locations,GeogName2,nvarchar,50,0,0,YES,n/a,
Locations,GeogScheme3,varchar,5,0,0,YES,n/a,
Locations,GeogName3,nvarchar,50,0,0,YES,n/a,
Locations,GeogScheme4,varchar,5,0,0,YES,n/a,
Locations,GeogName4,nvarchar,50,0,0,YES,n/a,
Locations,GeogScheme5,varchar,5,0,0,YES,n/a,
Locations,GeogName5,nvarchar,50,0,0,YES,n/a,
Locations,AddressMatch,tinyint,1,3,0,NO,((0)),
Locations,GeocodeQuality,float,8,53,0,YES,n/a,
Locations,Geocoder,varchar,20,0,0,YES,n/a,
Locations,OrgOccupancyScheme,varchar,10,0,0,YES,n/a,
Locations,OrgOccupancyCode,varchar,100,0,0,YES,n/a,
Locations,OrgConstructionScheme,varchar,10,0,0,YES,n/a,
Locations,OrgConstructionCode,varchar,100,0,0,YES,n/a,
Locations,OccupancyCode,smallint,2,5,0,NO,((1000)),
Locations,ConstructionCode,smallint,2,5,0,NO,((5000)),
Locations,YearBuilt,smallint,2,5,0,NO,((0)),
Locations,NumberOfStoreys,tinyint,1,3,0,NO,((0)),
Locations,NumberOfBuildings,int,4,10,0,NO,((1)),
Locations,FloorArea,float,8,53,0,NO,((0)),
Locations,FloorAreaUnit,tinyint,1,3,0,NO,((11)),
Locations,LocUserDef1,varchar,20,0,0,YES,n/a,
Locations,LocUserDef2,varchar,20,0,0,YES,n/a,
Locations,LocUserDef3,varchar,20,0,0,YES,n/a,
Locations,LocUserDef4,varchar,20,0,0,YES,n/a,
Locations,LocUserDef5,varchar,20,0,0,YES,n/a,
Locations,PerilsCovered,int,4,10,0,NO,n/a,
Locations,BuildingTIV,float,8,53,0,NO,n/a,
Locations,OtherTIV,float,8,53,0,NO,n/a,
Locations,ContentsTIV,float,8,53,0,NO,n/a,
Locations,BITIV,float,8,53,0,NO,n/a,
Locations,BIPOI,float,8,53,0,NO,((365)),
Locations,Currency,varchar,3,0,0,NO,n/a,
Locations,GrossPremium,float,8,53,0,NO,((0)),
Locations,Tax,float,8,53,0,NO,((0)),
Locations,Brokerage,float,8,53,0,NO,((0)),
Locations,NetPremium,float,8,53,0,NO,((0)),
Locations,NonCatGroundUpLoss,float,8,53,0,NO,((0)),
Locations,Participation,float,8,53,0,NO,((1)),
Locations,PayoutBasis,tinyint,1,3,0,NO,((0)),
Locations,ReinsTag,varchar,20,0,0,YES,n/a,
LocCond,PolID,bigint,8,19,0,NO,n/a,
LocCond,LocID,bigint,8,19,0,NO,n/a,
LocCond,CondID,bigint,8,19,0,NO,n/a,
LocPol,PolID,bigint,8,19,0,NO,n/a,
LocPol,LocID,bigint,8,19,0,NO,n/a,
LocPol,Priority,tinyint,1,3,0,NO,n/a,
Policies,PolID,bigint,8,19,0,NO,n/a,
Policies,AccID,bigint,8,19,0,NO,n/a,
Policies,PolNumber,varchar,20,0,0,NO,n/a,
Policies,PolStatus,char,1,0,0,NO,n/a,
Policies,LayerNumber,int,4,10,0,NO,((1)),
Policies,InceptionDate,smalldatetime,4,0,0,YES,n/a,
Policies,ExpiryDate,smalldatetime,4,0,0,YES,n/a,
Policies,ProducerID,bigint,8,19,0,YES,n/a,
Policies,Underwriter,varchar,40,0,0,YES,n/a,
Policies,BranchName,varchar,20,0,0,YES,n/a,
Policies,LOBID,bigint,8,19,0,YES,n/a,
Policies,ExpiringPolNumber,varchar,20,0,0,YES,n/a,
Policies,PerilsCovered,int,4,10,0,NO,n/a,
Policies,GrossPremium,float,8,53,0,NO,((0)),
Policies,Tax,float,8,53,0,NO,((0)),
Policies,Brokerage,float,8,53,0,NO,((0)),
Policies,NetPremium,float,8,53,0,NO,((0)),
Policies,LayerParticipation,float,8,53,0,NO,((1)),
Policies,LayerLimit,float,8,53,0,NO,((0)),
Policies,LayerAttachment,float,8,53,0,NO,((0)),
Policies,Currency,varchar,3,0,0,NO,n/a,
Policies,HoursClause,int,4,10,0,YES,n/a,
Policies,PolUserDef1,varchar,20,0,0,YES,n/a,
Policies,PolUserDef2,varchar,20,0,0,YES,n/a,
Policies,PolUserDef3,varchar,20,0,0,YES,n/a,
Policies,PolUserDef4,varchar,20,0,0,YES,n/a,
Policies,PolUserDef5,varchar,20,0,0,YES,n/a,
PolicyFinancials,PolFinID,bigint,8,19,0,NO,n/a,
PolicyFinancials,PolID,bigint,8,19,0,NO,n/a,
PolicyFinancials,PerilCode,int,4,10,0,NO,n/a,
PolicyFinancials,DedCode,tinyint,1,3,0,NO,((0)),
PolicyFinancials,DedCov,tinyint,1,3,0,NO,((0)),
PolicyFinancials,DedType,tinyint,1,3,0,NO,((0)),
PolicyFinancials,Ded,float,8,53,0,NO,((0)),
PolicyFinancials,MinDed,float,8,53,0,NO,((0)),
PolicyFinancials,MaxDed,float,8,53,0,NO,((0)),
PolicyFinancials,LimitCode,tinyint,1,3,0,NO,((0)),
PolicyFinancials,LimitCov,tinyint,1,3,0,NO,((0)),
PolicyFinancials,LimitType,tinyint,1,3,0,NO,((0)),
PolicyFinancials,Limit,float,8,53,0,NO,((0)),
PortAcc,PortID,bigint,8,19,0,NO,n/a,
PortAcc,AccID,bigint,8,19,0,NO,n/a,
Portfolios,PortID,bigint,8,19,0,NO,n/a,
Portfolios,PortNumber,varchar,20,0,0,NO,n/a,
Portfolios,PortName,varchar,40,0,0,NO,n/a,
Portfolios,PortNotes,varchar,200,0,0,YES,n/a,
Portfolios,CreatedOn,datetime,8,0,0,NO,(getdate()),
Portfolios,EditedOn,datetime,8,0,0,NO,(getdate()),
Producers,ProducerID,bigint,8,19,0,NO,n/a,
Producers,ProducerName,varchar,40,0,0,NO,n/a,
ReinsAcc,ReinsAccID,bigint,8,19,0,NO,n/a,
ReinsAcc,ReinsID,bigint,8,19,0,NO,n/a,
ReinsAcc,AccID,bigint,8,19,0,NO,n/a,
ReinsAcc,CededPercent,float,8,53,0,YES,n/a,
ReinsLoc,ReinsLocID,bigint,8,19,0,NO,n/a,
ReinsLoc,ReinsID,bigint,8,19,0,NO,n/a,
ReinsLoc,LocGroup,nvarchar,20,0,0,YES,n/a,
ReinsLoc,LocID,bigint,8,19,0,NO,n/a,
ReinsLoc,CededPercent,float,8,53,0,YES,n/a,
ReinsLoc,RiskLevel,tinyint,1,3,0,NO,n/a,
ReinsPol,ReinsPolID,bigint,8,19,0,NO,n/a,
ReinsPol,ReinsID,bigint,8,19,0,NO,n/a,
ReinsPol,PolID,bigint,8,19,0,NO,n/a,
ReinsPol,CededPercent,float,8,53,0,YES,n/a,
ReinsPort,ReinsPortID,bigint,8,19,0,NO,n/a,
ReinsPort,ReinsID,bigint,8,19,0,NO,n/a,
ReinsPort,PortID,bigint,8,19,0,NO,n/a,
ReinsPort,CededPercent,float,8,53,0,YES,n/a,
ReinsReinstatements,ReinsReinstatID,bigint,8,19,0,NO,n/a,
ReinsReinstatements,ReinsID,bigint,8,19,0,NO,n/a,
ReinsReinstatements,ReinstatementCharge,float,8,53,0,NO,n/a,
ReinsReinstatements,ReinstatementOrder,tinyint,1,3,0,NO,n/a,
ReinsuranceInfo,ReinsID,bigint,8,19,0,NO,n/a,Derived from ReinstatementCharge
ReinsuranceInfo,ReinsNumber,int,4,10,0,NO,n/a,
ReinsuranceInfo,ReinsName,varchar,30,0,0,NO,n/a,
ReinsuranceInfo,ReinsLayerNumber,int,4,10,0,NO,n/a,
ReinsuranceInfo,PerilCode,int,4,10,0,NO,n/a,
ReinsuranceInfo,ReinsInceptionDate,smalldatetime,4,0,0,YES,n/a,
ReinsuranceInfo,ReinsExpiryDate,smalldatetime,4,0,0,YES,n/a,
ReinsuranceInfo,CededPercent,float,8,53,0,NO,n/a,
ReinsuranceInfo,RiskLimit,float,8,53,0,NO,((0)),
ReinsuranceInfo,RiskAttachment,float,8,53,0,NO,((0)),
ReinsuranceInfo,OccLimit,float,8,53,0,NO,((0)),
ReinsuranceInfo,OccAttachment,float,8,53,0,NO,((0)),
ReinsuranceInfo,OccFranchiseDed,float,8,53,0,NO,((0)),
ReinsuranceInfo,OccReverseFranchise,float,8,53,0,NO,((0)),
ReinsuranceInfo,AggLimit,float,8,53,0,NO,((0)),
ReinsuranceInfo,AggAttachment,float,8,53,0,NO,((0)),
ReinsuranceInfo,AggPeriod,float,8,53,0,NO,((365)),
ReinsuranceInfo,Currency,varchar,3,0,0,NO,n/a,
ReinsuranceInfo,InuringPriority,tinyint,1,3,0,NO,n/a,
ReinsuranceInfo,ReinsType,varchar,3,0,0,NO,n/a,
ReinsuranceInfo,AttachmentBasis,char,2,0,0,NO,('LO'),
ReinsuranceInfo,Reinstatement,tinyint,1,3,0,NO,n/a,
ReinsuranceInfo,ReinstatementCharge,varchar,50,0,0,NO,n/a,
ReinsuranceInfo,ReinsPremium,float,8,53,0,NO,((0)),
ReinsuranceInfo,PlacedPercent,float,8,53,0,NO,n/a,
ReinsuranceInfo,DeemedPercentPlaced,float,8,53,0,NO,((0)),
ReinsuranceInfo,ReinsFXrate,float,8,53,0,NO,((1)),
ReinsuranceInfo,TreatyShare,float,8,53,0,NO,((1)),
ReinsuranceInfo,UseReinsDates,bit,1,0,0,NO,((1)),
ReinsuranceScope,ReinsScopeID,bigint,8,19,0,NO,n/a,
ReinsuranceScope,ReinsID,bigint,8,19,0,NO,n/a,
ReinsuranceScope,PortNumber,varchar,20,0,0,YES,n/a,
ReinsuranceScope,AccNumber,nvarchar,40,0,0,YES,n/a,
ReinsuranceScope,PolNumber,varchar,20,0,0,YES,n/a,
ReinsuranceScope,LocGroup,nvarchar,20,0,0,YES,n/a,
ReinsuranceScope,LocNumber,nvarchar,20,0,0,YES,n/a,
ReinsuranceScope,CedantName,varchar,40,0,0,YES,n/a,
ReinsuranceScope,ProducerName,varchar,40,0,0,YES,n/a,
ReinsuranceScope,LOB,varchar,20,0,0,YES,n/a,
ReinsuranceScope,CountryCode,char,2,0,0,YES,n/a,
ReinsuranceScope,ReinsTag,varchar,20,0,0,YES,n/a,
ReinsuranceScope,CededPercent,float,8,53,0,YES,n/a,
ReinsuranceScope,RiskLevel,tinyint,1,3,0,NO,n/a,
StepFunctions,StepFuncID,bigint,8,19,0,NO,n/a,
StepFunctions,PolID,bigint,8,19,0,NO,n/a,
StepFunctions,StepFunctionName,varchar,30,0,0,NO,n/a,
StepFunctions,StepTriggerType,tinyint,1,3,0,NO,n/a,
StepFunctions,PerilCode,int,4,10,0,NO,n/a,
Steps,StepID,bigint,8,19,0,NO,n/a,
Steps,StepFuncID,bigint,8,19,0,NO,n/a,
Steps,StepNumber,tinyint,1,3,0,NO,n/a,
Steps,PayoutType,tinyint,1,3,0,NO,n/a,
Steps,TriggerType,tinyint,1,3,0,NO,n/a,
Steps,StepTriggerCov,tinyint,1,3,0,NO,((0)),
Steps,TriggerStart,float,8,53,0,NO,((0)),
Steps,TriggerEnd,float,8,53,0,NO,((0)),
Steps,PayoutStart,float,8,53,0,NO,((0)),
Steps,PayoutEnd,float,8,53,0,NO,((0)),
Steps,Deductible,float,8,53,0,NO,((0)),
Steps,PayoutLimit,float,8,53,0,NO,((0)),
Steps,ExtraExpenseFactor,float,8,53,0,NO,((1)),
Steps,ExtraExpenseLimit,float,8,53,0,NO,((0)),
Steps,DebrisRemovalFactor,float,8,53,0,NO,((1)),
Steps,MinimumTIV,float,8,53,0,NO,((0)),
Steps,ScaleFactor,float,8,53,0,NO,((1)),
Steps,IsLimitAtDamage,bit,1,0,0,NO,((0)),
WorkersComp,WorkersCompID,bigint,8,19,0,NO,n/a,
WorkersComp,LocID,bigint,8,19,0,NO,n/a,
WorkersComp,NumberOfEmployees,int,4,10,0,NO,n/a,
WorkersComp,Payroll,int,4,10,0,NO,n/a,
Conditions,CondTag,nvarchar,20,0,0,NO,n/a,
