File Name,Input Field Name,Type & Description,Required Field,Data Type,Allow blanks?,Default,Valid value range,SecMod?,BackEndTableName,Back End DB Field Name
Acc,AccDedType4BI,Account BI deductible type,CR,tinyint,YES,0,,,AccountFinancials,DedType
Acc,AccDed4BI,Account BI deductible,CR,float,YES,0,"[0,)",,AccountFinancials,Ded
Acc,AccMinDed4BI,Account minimum BI deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MinDed
Acc,AccMaxDed4BI,Account maximum BI deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MaxDed
Acc,AccDedCode5PD,Account PD deductible code,O,tinyint,YES,0,,,AccountFinancials,DedCode
Acc,AccDedType5PD,Account PD deductible type,CR,tinyint,YES,0,,,AccountFinancials,DedType
Acc,AccDed5PD,Account PD deductible,CR,float,YES,0,"[0,)",,AccountFinancials,Ded
Acc,AccMinDed5PD,Account minimum PD deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MinDed
Acc,AccMaxDed5PD,Account maximum PD deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MaxDed
Acc,AccDedCode6All,Account blanket deductible code,O,tinyint,YES,0,,,AccountFinancials,DedCode
Acc,AccDedType6All,Account blanket deductible type,CR,tinyint,YES,0,,,AccountFinancials,DedType
Acc,AccDed6All,Account blanket deductible,CR,float,YES,0,"[0,)",,AccountFinancials,Ded
Acc,AccMinDed6All,Account minimum blanket deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MinDed
Acc,AccMaxDed6All,Account maximum blanket deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MaxDed
Acc,AccLimitCode1Building,Account building limit code,O,tinyint,YES,0,,,AccountFinancials,LimitCode
Acc,AccLimitType1Building,Account building limit type,CR,tinyint,YES,0,,,AccountFinancials,LimitType
Acc,AccLimit1Building,Account building limit,CR,float,YES,0,"[0,)",,AccountFinancials,Limit
Acc,AccLimitCode2Other,Account other building limit code,O,tinyint,YES,0,,,AccountFinancials,LimitCode
Acc,AccLimitType2Other,Account other building limit type,CR,tinyint,YES,0,,,AccountFinancials,LimitType
Acc,AccLimit2Other,Account other building limit,CR,float,YES,0,"[0,)",,AccountFinancials,Limit
Acc,AccLimitCode3Contents,Account contents limit code,O,tinyint,YES,0,,,AccountFinancials,LimitCode
Acc,AccLimitType3Contents,Account contents limit type,CR,tinyint,YES,0,,,AccountFinancials,LimitType
Acc,AccLimit3Contents,Account contents limit,CR,float,YES,0,"[0,)",,AccountFinancials,Limit
Acc,AccLimitCode4BI,Account BI limit code,O,tinyint,YES,0,,,AccountFinancials,LimitCode
Acc,AccLimitType4BI,Account BI limit type,CR,tinyint,YES,0,,,AccountFinancials,LimitType
Acc,AccLimit4BI,Account BI limit,CR,float,YES,0,"[0,)",,AccountFinancials,Limit
Acc,AccLimitCode5PD,Account PD limit code,O,tinyint,YES,0,,,AccountFinancials,LimitCode
Acc,AccLimitType5PD,Account PD limit type,CR,tinyint,YES,0,,,AccountFinancials,LimitType
Acc,AccLimit5PD,Account PD limit,CR,float,YES,0,"[0,)",,AccountFinancials,Limit
Acc,AccLimitCode6All,Account blanket limit code,O,tinyint,YES,0,,,AccountFinancials,LimitCode
Acc,AccLimitType6All,Account blanket limit type,CR,tinyint,YES,0,,,AccountFinancials,LimitType
Acc,AccLimit6All,Account blanket limit,CR,float,YES,0,"[0,)",,AccountFinancials,Limit
Acc,PolNumber,Policy layer number,R,varchar(20),NO,n/a,,,Policies,
Acc,PolStatus,"Policy layer status. Aside from predefined values, other single character values for user specific purposes can be used.",O,char(1),YES,n/a,,,Policies,
Acc,PolInceptionDate,Policy inception date - in ISO 8601 format: YYYY-MM-DD,O,smalldatetime,YES,n/a,,,Policies,InceptionDate
Acc,PolExpiryDate,Policy expiry date - in ISO 8601 format: YYYY-MM-DD,O,smalldatetime,YES,n/a,,,Policies,ExpiryDate
Acc,ProducerName,Producer name (defined at policy level),O,varchar(40),YES,n/a,,,Producers,
Acc,Underwriter,Underwriter name,O,varchar(40),YES,n/a,,,Policies,
Acc,BranchName,Branch name,O,varchar(20),YES,n/a,,,Policies,
Acc,LOB,Line of business (defined at policy level),O,varchar(20),YES,n/a,,,LOB,
Acc,ExpiringPolNumber,Expiring policy number,O,varchar(20),YES,n/a,,,Policies,
Acc,PolPerilsCovered,Policy perils covered,R,varchar(250),NO,n/a,,,Policies,PerilsCovered
Acc,PolGrossPremium,Policy gross premium,O,float,YES,0,"[0,)",,Policies,GrossPremium
Acc,PolTax,Policy insurance tax amount,O,float,YES,0,"[0,)",,Policies,Tax
Acc,PolBrokerage,Policy brokerage amount,O,float,YES,0,"[0,)",,Policies,Brokerage
Acc,PolNetPremium,Policy net premium,O,float,YES,0,"[0,)",,Policies,NetPremium
Acc,LayerNumber,Layer number,O,int,YES,1,"[1,)",,Policies,
Acc,LayerParticipation,Insurance company share of the policy layer. Values between 0 to 1 (e.g. 12% entered as 0.12),O,float,YES,1,"[0,1]",,Policies,
Acc,LayerLimit,Policy layer limit (always treated as amount),O,float,YES,0,"[0,)",,Policies,
Acc,LayerAttachment,Policy layer attachment point (always treated as amount),O,float,YES,0,"[0,)",,Policies,
Acc,HoursClause,"For perils with an inherent event duration, the insurance contract may contain an hours clause that limits the time in which claims can be added up and assigned to one event",O,int,YES,n/a,"[0,)",,Policies,
Acc,PolPeril,Perils for policy financial terms,CR,varchar(250),YES,n/a,,,PolicyFinancials; StepFunctions,PolicyFinancials = PerilCode; StepFunctions = PerilCode
Acc,PolDedCode1Building,Policy building deductible code,O,tinyint,YES,0,,,PolicyFinancials,DedCode
Acc,PolDedType1Building,Policy building deductible type,CR,tinyint,YES,0,,,PolicyFinancials,DedType
Acc,PolDed1Building,Policy building deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,Ded
Acc,PolMinDed1Building,Policy minimum building deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MinDed
Acc,PolMaxDed1Building,Policy maximum building deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MaxDed
Acc,PolDedCode2Other,Policy other building deductible code,O,tinyint,YES,0,,,PolicyFinancials,DedCode
Acc,PolDedType2Other,Policy other building deductible type,CR,tinyint,YES,0,,,PolicyFinancials,DedType
Acc,PolDed2Other,Policy other building deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,Ded
Acc,PolMinDed2Other,Policy minimum other building deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MinDed
Acc,PolMaxDed2Other,Policy maximum other building deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MaxDed
Acc,PolDedCode3Contents,Policy contents deductible code,O,tinyint,YES,0,,,PolicyFinancials,DedCode
Acc,PolDedType3Contents,Policy contents deductible type,CR,tinyint,YES,0,,,PolicyFinancials,DedType
Acc,PolDed3Contents,Policy contents deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,Ded
Acc,PolMinDed3Contents,Policy minimum contents deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MinDed
Acc,PolMaxDed3Contents,Policy maximum contents deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MaxDed
Acc,PolDedCode4BI,Policy BI deductible code,O,tinyint,YES,0,,,PolicyFinancials,DedCode
Acc,PolDedType4BI,Policy BI deductible type,CR,tinyint,YES,0,,,PolicyFinancials,DedType
Acc,PolDed4BI,Policy BI deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,Ded
Acc,PolMinDed4BI,Policy minimum BI deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MinDed
Acc,PolMaxDed4BI,Policy maximum BI deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MaxDed
Acc,PolDedCode5PD,Policy PD deductible code,O,tinyint,YES,0,,,PolicyFinancials,DedCode
Acc,PolDedType5PD,Policy PD deductible type,CR,tinyint,YES,0,,,PolicyFinancials,DedType
Acc,PolDed5PD,Policy PD deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,Ded
Acc,PolMinDed5PD,Policy minimum PD deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MinDed
Acc,PolMaxDed5PD,Policy maximum PD deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MaxDed
Acc,PolDedCode6All,Policy blanket deductible code,O,tinyint,YES,0,,,PolicyFinancials,DedCode
Acc,PolDedType6All,Policy blanket deductible type,CR,tinyint,YES,0,,,PolicyFinancials,DedType
Acc,PolDed6All,Policy blanket deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,Ded
Acc,PolMinDed6All,Policy minimum blanket deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MinDed
Acc,PolMaxDed6All,Policy maximum blanket deductible,CR,float,YES,0,"[0,)",,PolicyFinancials,MaxDed
Acc,PolLimitCode1Building,Policy building limit code,O,tinyint,YES,0,,,PolicyFinancials,LimitCode
Acc,PolLimitType1Building,Policy building limit type,CR,tinyint,YES,0,,,PolicyFinancials,LimitType
Acc,PolLimit1Building,Policy building limit,CR,float,YES,0,"[0,)",,PolicyFinancials,Limit
Acc,PolLimitCode2Other,Policy other building limit code,O,tinyint,YES,0,,,PolicyFinancials,LimitCode
Acc,PolLimitType2Other,Policy other building limit type,CR,tinyint,YES,0,,,PolicyFinancials,LimitType
Acc,PolLimit2Other,Policy other building limit,CR,float,YES,0,"[0,)",,PolicyFinancials,Limit
Acc,PolLimitCode3Contents,Policy contents limit code,O,tinyint,YES,0,,,PolicyFinancials,LimitCode
Acc,PolLimitType3Contents,Policy contents limit type,CR,tinyint,YES,0,,,PolicyFinancials,LimitType
Acc,PolLimit3Contents,Policy contents limit,CR,float,YES,0,"[0,)",,PolicyFinancials,Limit
Acc,PolLimitCode4BI,Policy BI limit code,O,tinyint,YES,0,,,PolicyFinancials,LimitCode
Acc,PolLimitType4BI,Policy BI limit type,CR,tinyint,YES,0,,,PolicyFinancials,LimitType
Acc,PolLimit4BI,Policy BI limit,CR,float,YES,0,"[0,)",,PolicyFinancials,Limit
Acc,PolLimitCode5PD,Policy PD limit code,O,tinyint,YES,0,,,PolicyFinancials,LimitCode
Acc,PolLimitType5PD,Policy PD limit type,CR,tinyint,YES,0,,,PolicyFinancials,LimitType
Acc,PolLimit5PD,Policy PD limit,CR,float,YES,0,"[0,)",,PolicyFinancials,Limit
Acc,PolLimitCode6All,Policy blanket limit code (annual aggregate only),O,tinyint,YES,0,,,PolicyFinancials,LimitCode
Acc,PolLimitType6All,Policy blanket limit type,CR,tinyint,YES,0,,,PolicyFinancials,LimitType
Acc,PolLimit6All,Policy blanket limit,CR,float,YES,0,"[0,)",,PolicyFinancials,Limit
Acc,StepFunctionName,Step function name,CR,varchar(30),YES,n/a,,,StepFunctions,
Acc,StepTriggerType,"Code that represents how, and for which coverages, pay-outs are triggered.",CR,tinyint,YES,n/a,,,StepFunctions,
Acc,StepNumber,Number between 1 and 10 that is used to sort the step function in the correct order.,CR,tinyint,YES,n/a,"(0,10)",,Steps,
Acc,PayOutType,"Refers to PayoutBuilding, PayoutContents, PayoutBuildingContents. Payout can be % TIV, % Loss, a monetary amount, or % Limit.",CR,tinyint,YES,n/a,,,Steps,PayoutType
Acc,TriggerType,"Refers to TriggerStart and TriggerEnd fields which could be specified as a % TIV, % Loss or a monetary amount.",CR,tinyint,YES,n/a,,,Steps,TriggerType
Acc,TriggerBuildingStart,Starting value of the building damage range over which the corresponding pay-out(s) should be made.,CR,float,YES,0,"[0,)",,Steps,TriggerStart
Acc,TriggerBuildingEnd,Ending value of the building damage range over which the corresponding pay-out(s) should be made.,CR,float,YES,0,"[0,)",,Steps,TriggerEnd
Acc,DeductibleBuilding,"Building deductible that can be used, for example, to account for fire policies before applying step functions.",CR,float,YES,0,"[0,)",,Steps,Deductible
Acc,PayOutBuildingStart,Pay-out amount for the building losses for this step. If a ramp policy then it represents the start payout value.,CR,float,YES,0,"[0,)",,Steps,PayoutStart
Acc,PayOutBuildingEnd,"Pay-out amount for the end-point building losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the building payout. Otherwise, it should be left blank.",CR,float,YES,0,"[0,)",,Steps,PayoutEnd
Acc,PayOutLimitBuilding,Pay-out limit for building,CR,float,YES,0,"[0,)",,Steps,PayoutLimit
Acc,TriggerContentsStart,Starting value of the content damage range over which the corresponding pay-out(s) should be made.,CR,float,YES,0,"[0,)",,Steps,TriggerStart
Acc,TriggerContentsEnd,Ending value of the content damage range over which the corresponding pay-out(s) should be made.,CR,float,YES,0,"[0,)",,Steps,TriggerEnd
Acc,DeductibleContents,"Content deductible that can be used, for example, to account for fire policies before applying step functions.",CR,float,YES,0,"[0,)",,Steps,Deductible
Acc,PayOutContentsStart,Pay-out amount for the contents losses for this step. If a ramp policy then it represents the start payout value.,CR,float,YES,0,"[0,)",,Steps,PayoutStart
Acc,PayOutContentsEnd,"Pay-out amount for the end-point contents losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the contents payout. Otherwise, it should be left blank.",CR,float,YES,0,"[0,)",,Steps,PayoutEnd
Acc,PayOutLimitContents,Pay-out limit for contents,CR,float,YES,0,"[0,)",,Steps,PayoutLimit
Acc,TriggerBuildingContentsStart,Starting value of the building and content damage range over which the corresponding pay-out(s) should be made.,CR,float,YES,0,"[0,)",,Steps,TriggerStart
Acc,TriggerBuildingContentsEnd,Ending value of the building and content damage range over which the corresponding pay-out(s) should be made.,CR,float,YES,0,"[0,)",,Steps,TriggerEnd
Acc,DeductibleBuildingContents,"Building and contents deductible that can be used, for example, to account for fire policies before applying step functions.",CR,float,YES,0,"[0,)",,Steps,Deductible
Acc,PayOutBuildingContentsStart,Pay-out amount for the building and contents losses for this step. If a ramp policy then it represents the start payout value.,CR,float,YES,0,"[0,)",,Steps,PayoutStart
Acc,PayOutBuildingContentsEnd,"Pay-out amount for the end-point building and contents losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the building and contents payout. Otherwise, it should be left blank.",CR,float,YES,0,"[0,)",,Steps,PayoutEnd
Acc,PayOutLimitBuildingContents,Pay-out limit for building and contents,CR,float,YES,0,"[0,)",,Steps,PayoutLimit
Acc,ExtraExpenseFactor,"A factor that is applied to main coverage loss for extra expenses. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ²1. For example, 0.12 for 12%.",CR,float,YES,1,"[0,1]",,Steps,ExtraExpenseFactor
Acc,ExtraExpenseLimit,A limit that applies to the total extra expense loss,CR,float,YES,0,"[0,)",,Steps,ExtraExpenseLimit
Acc,DebrisRemovalFactor,"A factor for a conditional coverage which tends to apply to all steps and is to cover Debris Removal. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ²1. For example, 0.12 for 12%.",CR,float,YES,1,"[0,1]",,Steps,DebrisRemovalFactor
Acc,MinimumTIV,Minimum replacement value for which pay-outs to the corresponding damage range will be allowed.,CR,float,YES,0,"[0,)",,Steps,
Acc,ScaleFactor,"Percentage factor used to scale calculated losses. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ²1. For example, 0.12 for 12%.",CR,float,YES,1,"[0,1]",,Steps,
Acc,IsLimitAtDamage,Indicates whether the pay-out is limited by the actual ground-up loss.,CR,0 or 1,YES,0,,,Steps,
Acc,PolUserDef1,Policy user defined field,O,varchar(20),YES,n/a,,,Policies,
Acc,PolUserDef2,Policy user defined field,O,varchar(20),YES,n/a,,,Policies,
Acc,PolUserDef3,Policy user defined field,O,varchar(20),YES,n/a,,,Policies,
Acc,PolUserDef4,Policy user defined field,O,varchar(20),YES,n/a,,,Policies,
Acc,PolUserDef5,Policy user defined field,O,varchar(20),YES,n/a,,,Policies,
Acc,FlexiPolZZZ,Flexible field that is stored in FlexiPol table in ModifierName = ZZZ,O,varchar(40),YES,n/a,,,FlexiPol,ModifierName = ZZZ
Acc,CondNumber,Condition number (must be the same if condition repeats on several policy layers),CR,int,YES,n/a,"[1,)",,Conditions,
Acc,CondName,Condition name (must be the same if condition repeats on several policy layers). Description that relates to CondNumber.,O,varchar(40),YES,n/a,,,Conditions,
Acc,CondPriority,Condition priority: specifies the order in which special conditions apply if multiple conditions apply to one location.,CR,int,YES,n/a,"[1,)",,LocCond,Priority
Acc,CondPeril,Perils for condition financial terms,CR,varchar(250),YES,n/a,,,ConditionFinancials,PerilCode
Acc,CondDedCode1Building,Special condition building deductible code,O,tinyint,YES,0,,,ConditionFinancials,DedCode
Acc,CondDedType1Building,Special condition building deductible type,CR,tinyint,YES,0,,,ConditionFinancials,DedType
Acc,CondDed1Building,Special condition building deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,Ded
Acc,CondMinDed1Building,Special condition minimum building deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MinDed
Acc,CondMaxDed1Building,Special condition maximum building deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MaxDed
Acc,CondDedCode2Other,Special condition other building deductible code,O,tinyint,YES,0,,,ConditionFinancials,DedCode
Acc,CondDedType2Other,Special condition other building deductible type,CR,tinyint,YES,0,,,ConditionFinancials,DedType
Acc,CondDed2Other,Special condition other building deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,Ded
Acc,CondMinDed2Other,Special condition minimum other building deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MinDed
Acc,CondMaxDed2Other,Special condition maximum other building deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MaxDed
Acc,CondDedCode3Contents,Special condition contents deductible code,O,tinyint,YES,0,,,ConditionFinancials,DedCode
Acc,CondDedType3Contents,Special condition contents deductible type,CR,tinyint,YES,0,,,ConditionFinancials,DedType
Acc,CondDed3Contents,Special condition contents deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,Ded
Acc,CondMinDed3Contents,Special condition minimum contents deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MinDed
Acc,CondMaxDed3Contents,Special condition maximum contents deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MaxDed
Acc,CondDedCode4BI,Special condition BI deductible code,O,tinyint,YES,0,,,ConditionFinancials,DedCode
Acc,CondDedType4BI,Special condition BI deductible type,CR,tinyint,YES,0,,,ConditionFinancials,DedType
Acc,CondDed4BI,Special condition BI deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,Ded
Acc,CondMinDed4BI,Special condition minimum BI deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MinDed
Acc,CondMaxDed4BI,Special condition maximum BI deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MaxDed
Acc,CondDedCode5PD,Special condition PD deductible code,O,tinyint,YES,0,,,ConditionFinancials,DedCode
Acc,CondDedType5PD,Special condition PD deductible type,CR,tinyint,YES,0,,,ConditionFinancials,DedType
Acc,CondDed5PD,Special condition PD deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,Ded
Acc,CondMinDed5PD,Special condition minimum PD deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MinDed
Acc,CondMaxDed5PD,Special condition maximum PD deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MaxDed
Acc,CondDedCode6All,Special condition blanket deductible code,O,tinyint,YES,0,,,ConditionFinancials,DedCode
Acc,CondDedType6All,Special condition blanket deductible type,CR,tinyint,YES,0,,,ConditionFinancials,DedType
Acc,CondDed6All,Special condition blanket deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,Ded
Acc,CondMinDed6All,Special condition minimum blanket deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MinDed
Acc,CondMaxDed6All,Special condition maximum blanket deductible,CR,float,YES,0,"[0,)",,ConditionFinancials,MaxDed
Acc,CondLimitCode1Building,Special condition building limit code,O,tinyint,YES,0,,,ConditionFinancials,LimitCode
Acc,CondLimitType1Building,Special condition building limit type,CR,tinyint,YES,0,,,ConditionFinancials,LimitType
Acc,CondLimit1Building,Special condition building limit,CR,float,YES,0,"[0,)",,ConditionFinancials,Limit
Acc,CondLimitCode2Other,Special condition other building limit code,O,tinyint,YES,0,,,ConditionFinancials,LimitCode
Acc,CondLimitType2Other,Special condition other building limit type,CR,tinyint,YES,0,,,ConditionFinancials,LimitType
Acc,CondLimit2Other,Special condition other building limit,CR,float,YES,0,"[0,)",,ConditionFinancials,Limit
Acc,CondLimitCode3Contents,Special condition contents limit code,O,tinyint,YES,0,,,ConditionFinancials,LimitCode
Acc,CondLimitType3Contents,Special condition contents limit type,CR,tinyint,YES,0,,,ConditionFinancials,LimitType
Acc,CondLimit3Contents,Special condition contents limit,CR,float,YES,0,"[0,)",,ConditionFinancials,Limit
Acc,CondLimitCode4BI,Special condition BI limit code,O,tinyint,YES,0,,,ConditionFinancials,LimitCode
Acc,CondLimitType4BI,Special condition BI limit type,CR,tinyint,YES,0,,,ConditionFinancials,LimitType
Acc,CondLimit4BI,Special condition BI limit,CR,float,YES,0,"[0,)",,ConditionFinancials,Limit
Acc,CondLimitCode5PD,Special condition PD limit code,O,tinyint,YES,0,,,ConditionFinancials,LimitCode
Acc,CondLimitType5PD,Special condition PD limit type,CR,tinyint,YES,0,,,ConditionFinancials,LimitType
Acc,CondLimit5PD,Special condition PD limit,CR,float,YES,0,"[0,)",,ConditionFinancials,Limit
Acc,CondLimitCode6All,Special condition blanket limit code,O,tinyint,YES,0,,,ConditionFinancials,LimitCode
Acc,CondLimitType6All,Special condition blanket limit type,CR,tinyint,YES,0,,,ConditionFinancials,LimitType
Acc,CondLimit6All,Special condition blanket limit,CR,float,YES,0,"[0,)",,ConditionFinancials,Limit
Loc,LocNumber,Location number,R,nvarchar(20),NO,n/a,,,Locations,
Loc,LocName,Location name,O,nvarchar(20),YES,n/a,,,Locations,
Loc,LocGroup,Location group name,O,nvarchar(20),YES,n/a,,,Locations,
Loc,CorrelationGroup,Correlation Group: indicates which locations should be correlated between each other in Oasis LMF.,O,int,YES,n/a,"[0,)",,Locations,
Loc,IsPrimary,Whether the location in LocGroup is the primary building in the group,O,0 or 1,YES,1,,,Locations,
Loc,IsTenant,Whether property is occupied by a tenant or not,O,0 or 1,YES,0,,,Locations,
Loc,BuildingID,Unique building identification number,O,varchar(20),YES,n/a,,,Locations,
Loc,LocInceptionDate,Location inception date - in ISO 8601 format: YYYY-MM-DD,O,smalldatetime,YES,n/a,,,Locations,
Loc,LocExpiryDate,Location expiry date - in ISO 8601 format: YYYY-MM-DD,O,smalldatetime,YES,n/a,,,Locations,
Loc,PercentComplete,Completeness percentage of the construction project at this location. The project completion percentage is by the cost of the project. Values between 0 to 1 (e.g. 12% enterd as 0.12),O,decimal,YES,1,"[0,1]",,Locations,
Loc,CompletionDate,Construction project completion date - in ISO 8601 format: YYYY-MM-DD,O,date,YES,n/a,,,Locations,
Loc,CountryCode,Country code (based on ISO3166 alpha-2 codes),R,char(2),NO,n/a,,,Locations,
Loc,Latitude,Latitude in degrees (-90.0 to +90.0),O,decimal,YES,0,"[-90,90]",,Locations,
Loc,Longitude,Longitude in degrees (-180.0 to +180.0),O,decimal,YES,0,"[180,180]",,Locations,
Loc,StreetAddress,Street address including house number ,O,nvarchar(100),YES,n/a,,,Locations,
Loc,PostalCode,Postcode: the highest resolution postcode most often used. (e.g. 5 digit zip for the US).,O,nvarchar(20),YES,n/a,,,Locations,
Loc,City,City,O,nvarchar(50),YES,n/a,,,Locations,
Loc,AreaCode,Code representing typically the largest sub-division in a country (e.g. State code). See AreaCode Values sheet for details.,O,nvarchar(20),YES,n/a,,,Locations,
Loc,AreaName,Name relating to the AreaCode (e.g. State name). See AreaCode Values sheet for details.,O,nvarchar(50),YES,n/a,,,Locations,
Loc,GeogScheme1,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,n/a,,,Locations,
Loc,GeogName1,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,n/a,,,Locations,
Loc,GeogScheme2,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,n/a,,,Locations,
Loc,GeogName2,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,n/a,,,Locations,
