File Name,Input Field Name,Type & Description,Required Field,Data Type,Allow blanks?,Default
Acc,DeductibleBuildingContents,"Building and contents deductible that can be used, for example, to account for fire policies before applying step functions.",CR3-03,float,YES,0
Acc,PayOutBuildingContentsStart,Pay-out amount for the building and contents losses for this step. If a ramp policy then it represents the start payout value.,CR3-03,float,YES,0
Acc,PayOutBuildingContentsEnd,"Pay-out amount for the end-point building and contents losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the building and contents payout. Otherwise, it should be left blank.",CR3-03,float,YES,0
Acc,PayOutLimitBuildingContents,Pay-out limit for building and contents,CR3-03,float,YES,0
Acc,ExtraExpenseFactor,"A factor that is applied to main coverage loss for extra expenses. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ≤1. For example, 0.12 for 12%.",CR3-04,float,YES,1
Acc,ExtraExpenseLimit,A limit that applies to the total extra expense loss,CR3-04,float,YES,0
Acc,DebrisRemovalFactor,"A factor for a conditional coverage which tends to apply to all steps and is to cover Debris Removal. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ≤1. For example, 0.12 for 12%.",CR3-05,float,YES,1
Acc,MinimumTIV,Minimum replacement value for which pay-outs to the corresponding damage range will be allowed.,CR3-06,float,YES,0
Acc,ScaleFactor,"Percentage factor used to scale calculated losses. This value, entered as a decimal, should be the same for all steps for a policy contract and must be a value >0 and ≤1. For example, 0.12 for 12%.",CR3-07,float,YES,1
Acc,IsLimitAtDamage,Indicates whether the pay-out is limited by the actual ground-up loss.,CR3-08,float,YES,0
Acc,CondNumber,Condition number (must be the same if condition repeats on several policy layers),CR4,int,YES,n/a
Acc,CondPriority,Condition priority: specifies the order in which special conditions apply if multiple conditions apply to a policy.,CR4,int,YES,n/a
Acc,CondPeril,Perils for condition financial terms,CR4,varchar(250),YES,n/a
Acc,CondDedType1Building,Special condition building deductible type,CR4-01-1,tinyint,YES,0
Acc,CondDed1Building,Special condition building deductible,CR4-01-1,float,YES,0
Acc,CondMinDed1Building,Special condition minimum building deductible,CR4-01-2,float,YES,0
Acc,CondMaxDed1Building,Special condition maximum building deductible,CR4-01-3,float,YES,0
Acc,CondDedType2Other,Special condition other building deductible type,CR4-02-1,tinyint,YES,0
Acc,CondDed2Other,Special condition other building deductible,CR4-02-1,float,YES,0
Acc,CondMinDed2Other,Special condition minimum other building deductible,CR4-02-2,float,YES,0
Acc,CondMaxDed2Other,Special condition maximum other building deductible,CR4-02-3,float,YES,0
Acc,CondDedType3Contents,Special condition contents deductible type,CR4-03-1,tinyint,YES,0
Acc,CondDed3Contents,Special condition contents deductible,CR4-03-1,float,YES,0
Acc,CondMinDed3Contents,Special condition minimum contents deductible,CR4-03-2,float,YES,0
Acc,CondMaxDed3Contents,Special condition maximum contents deductible,CR4-03-3,float,YES,0
Acc,CondDedType4BI,Special condition BI deductible type,CR4-04-1,tinyint,YES,0
Acc,CondDed4BI,Special condition BI deductible,CR4-04-1,float,YES,0
Acc,CondMinDed4BI,Special condition minimum BI deductible,CR4-04-2,float,YES,0
Acc,CondMaxDed4BI,Special condition maximum BI deductible,CR4-04-3,float,YES,0
Acc,CondDedType5PD,Special condition PD deductible type,CR4-05-1,tinyint,YES,0
Acc,CondDed5PD,Special condition PD deductible,CR4-05-1,float,YES,0
Acc,CondMinDed5PD,Special condition minimum PD deductible,CR4-05-2,float,YES,0
Acc,CondMaxDed5PD,Special condition maximum PD deductible,CR4-05-3,float,YES,0
Acc,CondDedType6All,Special condition blanket deductible type,CR4-06-1,tinyint,YES,0
Acc,CondDed6All,Special condition blanket deductible,CR4-06-1,float,YES,0
Acc,CondMinDed6All,Special condition minimum blanket deductible,CR4-06-2,float,YES,0
Acc,CondMaxDed6All,Special condition maximum blanket deductible,CR4-06-3,float,YES,0
Acc,CondLimitType1Building,Special condition building limit type,CR4-07,tinyint,YES,0
Acc,CondLimit1Building,Special condition building limit,CR4-07,float,YES,0
Acc,CondLimitType2Other,Special condition other building limit type,CR4-08,tinyint,YES,0
Acc,CondLimit2Other,Special condition other building limit,CR4-08,float,YES,0
Acc,CondLimitType3Contents,Special condition contents limit type,CR4-09,tinyint,YES,0
Acc,CondLimit3Contents,Special condition contents limit,CR4-09,float,YES,0
Acc,CondLimitType4BI,Special condition BI limit type,CR4-10,tinyint,YES,0
Acc,CondLimit4BI,Special condition BI limit,CR4-10,float,YES,0
Acc,CondLimitType5PD,Special condition PD limit type,CR4-11,tinyint,YES,0
Acc,CondLimit5PD,Special condition PD limit,CR4-11,float,YES,0
Acc,CondLimitType6All,Special condition blanket limit type,CR4-12,tinyint,YES,0
Acc,CondLimit6All,Special condition blanket limit,CR4-12,float,YES,0
Loc,CondNumber,Condition Number to be able to link to relevant special condition (numbers only). Matches with CondNumber in Acc file.,CR4,int,YES,n/a
Loc,LocDedType1Building,Location building deductible type,CR5-01-1,tinyint,YES,0
Loc,LocDed1Building,Location building deductible,CR5-01-1,float,YES,0
Loc,LocMinDed1Building,Location minimum building deductible,CR5-01-2,float,YES,0
Loc,LocMaxDed1Building,Location maximum building deductible,CR5-01-3,float,YES,0
Loc,LocDedType2Other,Location other building deductible type,CR5-02-1,tinyint,YES,0
Loc,LocDed2Other,Location other building deductible,CR5-02-1,float,YES,0
Loc,LocMinDed2Other,Location minimum other building deductible,CR5-02-2,float,YES,0
Loc,LocMaxDed2Other,Location maximum other building deductible,CR5-02-3,float,YES,0
Loc,LocDedType3Contents,Location contents deductible type,CR5-03-1,tinyint,YES,0
Loc,LocDed3Contents,Location contents deductible,CR5-03-1,float,YES,0
Loc,LocMinDed3Contents,Location minimum contents deductible,CR5-03-2,float,YES,0
Loc,LocMaxDed3Contents,Location maximum contents deductible,CR5-03-3,float,YES,0
Loc,LocDedType4BI,Location BI Deductible Type,CR5-04-1,tinyint,YES,0
Loc,LocDed4BI,Location BI deductible,CR5-04-1,float,YES,0
Loc,LocMinDed4BI,Location minimum bi deductible,CR5-04-2,float,YES,0
Loc,LocMaxDed4BI,Location maximum bi deductible,CR5-04-3,float,YES,0
Loc,LocDedType5PD,Location PD deductible type,CR5-05-1,tinyint,YES,0
Loc,LocDed5PD,Location PD deductible,CR5-05-1,float,YES,0
Loc,LocMinDed5PD,Location minimum PD deductible,CR5-05-2,float,YES,0
Loc,LocMaxDed5PD,Location maximum PD deductible,CR5-05-3,float,YES,0
Loc,LocDedType6All,Location blanket deductible type,CR5-06-1,tinyint,YES,0
Loc,LocDed6All,Location site deductible,CR5-06-1,float,YES,0
Loc,LocMinDed6All,Location minimum blanket deductible,CR5-06-2,float,YES,0
Loc,LocMaxDed6All,Location maximum blanket deductible,CR5-06-3,float,YES,0
Loc,LocLimitType1Building,Location building limit type,CR5-07,tinyint,YES,0
Loc,LocLimit1Building,Location building limit,CR5-07,float,YES,0
Loc,LocLimitType2Other,Location other building limit type,CR5-08,tinyint,YES,0
Loc,LocLimit2Other,Location other building limit,CR5-08,float,YES,0
Loc,LocLimitType3Contents,Location contents limit type,CR5-09,tinyint,YES,0
Loc,LocLimit3Contents,Location contents limit,CR5-09,float,YES,0
Loc,LocLimitType4BI,Location BI limit type,CR5-10,tinyint,YES,0
Loc,LocLimit4BI,Location BI limit,CR5-10,float,YES,0
Loc,LocLimitType5PD,Location PD limit type,CR5-11,tinyint,YES,0
Loc,LocLimit5PD,Location PD limit,CR5-11,float,YES,0
Loc,LocLimitType6All,Location site limit type,CR5-12,tinyint,YES,0
Loc,LocLimit6All,Location site limit,CR5-12,float,YES,0
Loc,LocPeril,Perils for location financial terms,CR5,varchar(250),YES,n/a
ReinsScope,PortNumber,Portfolio number: used for defining treaty scope in the reinsurance scope file,CR6-01,varchar(20),YES,n/a
ReinsScope,AccNumber,Account number:  used for defining treaty scope in the reinsurance scope file,CR6-01-1,nvarchar(40),YES,n/a
ReinsScope,PolNumber,Policy number:  used for defining treaty scope in the reinsurance scope file,CR6-01-1-1,varchar(20),YES,n/a
ReinsScope,LocGroup,Location group name:  used for defining treaty scope in the reinsurance scope file,CR6-02,nvarchar(20),YES,n/a
ReinsScope,LocNumber,Location number:  used for defining treaty scope in the reinsurance scope file,CR6-01-1-2,nvarchar(20),YES,n/a
ReinsScope,CedantName,Cedant name:  used for defining treaty scope in the reinsurance scope file,CR6-03,varchar(40),YES,n/a
ReinsScope,ProducerName,Producer name:  used for defining treaty scope in the reinsurance scope file,CR6-04,varchar(40),YES,n/a
ReinsScope,LOB,Line of business:  used for defining treaty scope in the reinsurance scope file,CR6-05,varchar(20),YES,n/a
ReinsScope,CountryCode,Country code: used for defining treaty scope in the reinsurance scope file,CR6-06,char(2),YES,n/a
ReinsScope,ReinsTag,Reinsurance tag: user defined field to for defining treaty scope in the reinsurance scope file,CR6-07,varchar(20),YES,n/a
ReinsScope,CededPercent,"Ceded percentage (for 12%, enter 0.12). Within the reinsurance scope file, CededPercent should only be entered for surplus share treaties.",CR7,float,YES,1.0
